fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
base_mixed_full17_l2,natural,LAB009,Xd,12,0.003214469224870874,0.8929081180196874,0.016366808956113168,0.27278014926855276,-0.006226788491771182
base_mixed_full17_l2,natural,LAB009,N,12,0.004600314167066496,31.37158347121813,0.019579568787953635,1.6168792851049552,-0.0030671509450579336
base_mixed_full17_l2,natural,LAB009,G,12,893.5355354659624,142.96568567455398,8.629095817185224,3.45163832687409,5.7702001381892805
base_mixed_full17_l2,natural,LAB009,F,12,1475.8243709904925,236.13189935847885,11.089876656176466,4.435950662470586,8.236355819469031
base_mixed_full17_l2,natural,LAB009,E,5,469.3158260088818,117.17252059341106,9.688300428959476,4.84091975957898,-7.576660664495316
base_mixed_full17_l2,natural,LAB009,Gly,12,15.135643370420716,123.5562724115977,1.123077741833452,3.208793548095578,-0.9100820337832877
base_mixed_full17_l2,natural,LAB010,X,9,5.808197455468875,684.5790484805406,0.8033400729640436,8.721487185111268,0.1549184521743546
base_mixed_full17_l2,natural,LAB010,Xd,9,0.07872353999999987,21.867649999999962,0.09352571838804546,1.558761973134091,0.08793333333333325
base_mixed_full17_l2,natural,LAB010,N,4,0.0236446244,160.80555555555554,0.0768840432079375,6.3404565205424195,-0.046904999999999995
base_mixed_full17_l2,natural,LAB010,G,4,2614.681325843591,418.3490121349746,25.56697736262341,10.226790945049363,-12.92061410768046
base_mixed_full17_l2,natural,LAB010,F,4,2584.5098796382194,413.52158074211513,25.41903754884427,10.167615019537708,-16.687083319201623
base_mixed_full17_l2,natural,LAB010,E,4,1771.3393225492491,442.8333027010479,21.04364109742685,10.521802396702856,10.568492157320163
base_mixed_full17_l2,natural,LAB010,Gly,4,12.312594004747666,100.51097146732789,1.7544653035004472,5.012758010001278,1.1232276415388378
base_mixed_full17_l2,natural,LAB011,X,7,4.962222470629481,1014.2313935915575,0.8419554170950146,12.037034480490126,0.4470688204471185
base_mixed_full17_l2,natural,LAB011,Xd,7,0.08151823672794253,22.643954646650705,0.10791414360363556,1.7985690600605928,0.07083485124349549
base_mixed_full17_l2,natural,LAB011,N,4,0.04833289822169714,207.0261104898393,0.10992372153190723,7.194200971786917,-0.08183357252372864
base_mixed_full17_l2,natural,LAB011,G,4,2460.1852622697656,393.6296419631626,24.800127329661866,9.920050931864749,-15.32245215512423
base_mixed_full17_l2,natural,LAB011,F,4,2820.664641918365,451.3063427069383,26.55496489320954,10.621985957283815,-17.852208772392274
base_mixed_full17_l2,natural,LAB011,E,4,1746.0771392896456,436.31604287649463,20.89304393386496,10.444089750625645,11.672137915811915
base_mixed_full17_l2,natural,LAB011,Gly,4,10.977379433764261,89.61126068378991,1.6566064283471391,4.7331612238489695,1.109358846048801
base_mixed_full17_l2,natural,LAB012,X,8,3.4758136552042997,199.27368353786778,0.6591484710598497,4.990912786478389,0.051051922250474224
base_mixed_full17_l2,natural,LAB012,Xd,8,0.24596970374478622,68.32491770688507,0.17534598075832328,2.9224330126387215,0.1426267928376128
base_mixed_full17_l2,natural,LAB012,N,4,0.1476028312573363,421.84181525910213,0.19209556948127166,10.269394033475175,-0.15929498828750005
base_mixed_full17_l2,natural,LAB012,G,4,3051.703662781719,488.27258604507506,27.621113585361286,11.048445434144513,-19.416384596649323
base_mixed_full17_l2,natural,LAB012,F,4,2149.7997159591437,343.96795455346296,23.18296635441172,9.273186541764689,-16.268624261268517
base_mixed_full17_l2,natural,LAB012,E,4,2093.1765963636694,523.1878014193514,22.87562346890063,11.436649437437428,14.99770071458407
base_mixed_full17_l2,natural,LAB012,Gly,4,13.607505380161967,111.08167657275075,1.8444176167670085,5.26976461933431,1.3576190570999958
base_mixed_full17_l2,synthetic,MS007,X,8,0.506893520162556,59.36889257859574,0.2517174805616795,2.724171722253292,0.21563459442350902
base_mixed_full17_l2,synthetic,MS007,Xd,9,2.7417521552572426,329.5372002304787,0.5519412363303867,6.051053170321112,-0.5021869288453259
base_mixed_full17_l2,synthetic,MS007,N,9,0.19695486936072987,660.1918314969596,0.14793199239317514,8.564732800508526,-0.12918961612167348
base_mixed_full17_l2,synthetic,MS007,G,9,2079.808632915564,329.8701513020618,15.201639651752352,6.0541092683864255,-11.480664478943746
base_mixed_full17_l2,synthetic,MS007,F,9,1424.9653639955936,226.29088085826393,12.582904469493492,5.0143226069404205,-7.907058871016137
base_mixed_full17_l2,synthetic,MS007,E,4,795.5471103013003,198.88677757532508,14.102722346246667,7.051361173123333,12.144099869748409
base_mixed_full17_l2,synthetic,MS007,Gly,9,6.368714919668829,51.98950954831698,0.8412104321002649,2.4034583774293288,0.49527643631778695
base_mixed_full17_l2,synthetic,MS008,X,8,0.22953288651956033,31.700800960603296,0.16938598175452727,1.990628071759115,-0.006934920320780191
base_mixed_full17_l2,synthetic,MS008,Xd,9,1.8756583306300745,280.7803059121095,0.4565155870078473,5.585500135888654,-0.40249037041317426
base_mixed_full17_l2,synthetic,MS008,N,9,0.08375189168378624,374.57097167912434,0.09646639696102949,6.451278699082534,-0.08375494308483655
base_mixed_full17_l2,synthetic,MS008,G,9,931.6277591608505,144.66905399754012,10.174192619678315,4.009281648008781,-6.630825884398575
base_mixed_full17_l2,synthetic,MS008,F,9,622.6940009633117,98.50537170586553,8.317945799850877,3.3083290798606666,-1.95956248112038
base_mixed_full17_l2,synthetic,MS008,E,4,509.97896478583266,125.38480838370481,11.29135692450018,5.598767908739048,9.338180387421193
base_mixed_full17_l2,synthetic,MS008,Gly,8,3.6345917897878213,29.670137059492422,0.6740355878760984,1.9258159653602815,0.42705520868696506
base_mixed_full17_l2,synthetic,MS009,X,8,0.38142990856187,53.350556104621816,0.2183546165535177,2.58240576073508,-0.08228548058578398
base_mixed_full17_l2,synthetic,MS009,Xd,9,2.3713164513372478,226.6423382245746,0.5133026453313276,5.01821502378612,-0.41414069459590397
base_mixed_full17_l2,synthetic,MS009,N,9,0.013182768057745396,66.9439922202276,0.03827207867905995,2.7273102789750685,-0.03333603258589183
base_mixed_full17_l2,synthetic,MS009,G,9,2555.7404909434963,408.7242654318239,16.851444023002554,6.738976722782373,10.221016865857262
base_mixed_full17_l2,synthetic,MS009,F,9,1701.0666590234623,272.0018442480533,13.747996456144527,5.497492804785886,9.67546181907654
base_mixed_full17_l2,synthetic,MS009,E,4,606.4210353380672,112.26551301022538,12.312808730525981,5.297771064566337,-10.160829499878385
base_mixed_full17_l2,synthetic,MS009,Gly,9,17.636992369130716,143.50378210543667,1.3998806444809149,3.993102137233889,-0.5452520836573006
base_mixed_full17_l2,synthetic,MS010,X,8,2.969898363966764,231.9139536403665,0.6092924548161133,5.384166064029397,0.06925543518842409
base_mixed_full17_l2,synthetic,MS010,Xd,9,2.404655149093817,355.2921225991627,0.5168983511821919,6.283064738725686,-0.4615307762205317
base_mixed_full17_l2,synthetic,MS010,N,8,0.08573447170135756,348.93638325452497,0.10352202163148522,6.604320397044318,-0.08252662785929803
base_mixed_full17_l2,synthetic,MS010,G,9,164.90871669995883,25.233471332856396,4.280559629819432,1.6744309591571829,-3.435149799049663
base_mixed_full17_l2,synthetic,MS010,F,9,434.79316504010546,66.39334662087904,6.950564845472837,2.716070417612733,-5.791755166464199
base_mixed_full17_l2,synthetic,MS010,E,4,53.84481582941315,7.681401820190995,3.668951343007057,1.385767099857602,-1.4742696528103103
base_mixed_full17_l2,synthetic,MS010,Gly,9,1.0138113738379513,7.731320668099578,0.33562733530542,0.9268417501325898,0.00902712350068637
base_mixed_full17_l2,synthetic,MS011,X,8,1.5949977794529597,110.37710831769752,0.4465139666702711,3.7144499646262825,-0.13466275132124508
base_mixed_full17_l2,synthetic,MS011,Xd,9,0.9008089328783,118.34782789097838,0.31636984911796234,3.6262595955823613,-0.26263267412432306
base_mixed_full17_l2,synthetic,MS011,N,8,0.06122148385355195,344.58982168663726,0.08747962895265385,6.563057801880894,-0.07538429435864236
base_mixed_full17_l2,synthetic,MS011,G,9,100.1234482034425,15.851137070425823,3.3353901688048846,1.3271162165649006,0.02482181410938263
base_mixed_full17_l2,synthetic,MS011,F,9,40.34433573250959,6.297640892612963,2.117239705436974,0.8365033633865412,1.2477931338756922
base_mixed_full17_l2,synthetic,MS011,E,4,62.24547918988861,12.477404727075456,3.944790209564021,1.7661685032207046,-2.9938420528158183
base_mixed_full17_l2,synthetic,MS011,Gly,9,4.422325518430654,34.277335968135986,0.7009775331976413,1.9515616529713948,0.022732975491399236
base_mixed_full17_l2,synthetic,MS012,X,8,0.6165222890996188,66.57771025434744,0.27760635103947523,2.8848247402213936,-0.03876158813888145
base_mixed_full17_l2,synthetic,MS012,Xd,9,1.376195719522804,320.32667603254157,0.39103789522568494,5.965890787845904,-0.3346330426194684
base_mixed_full17_l2,synthetic,MS012,N,8,0.03529602478383717,209.6177182782409,0.06642291094178007,5.118809899261752,-0.04810347707868376
