batch,state,t,mu0,qN,qXG,qXF,betaG0,betaF0,qEG,qEF
25150,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,G,6.0,-1.2546211016112645,0.14076922890227703,-0.5265604237542822,-5.56916303388419e-05,0.012786261286136708,0.006168111665608647,-0.6691966458444291,-3.423590224075166e-05
25150,G,24.0,-19.046732898587067,79.37120787662985,-2.9939877044338257,-0.0035639328995955006,0.5365425065257515,0.270386124201732,-5.445754043683379,-0.0026529633178372348
25150,G,30.0,-26.581943331478413,158.8462122470815,-4.820236366023495,-0.008144161030289539,1.0215843164836116,0.5244727668916167,-7.879010884387416,-0.006505704756997879
25150,G,48.0,-40.69820944314906,359.59796763436316,-4.776902475913747,-0.028742025927488524,2.7921757268214344,1.5077836701599696,-14.257670901491068,-0.03187881056839398
25150,G,54.0,-43.98448758817478,407.01556887532803,-4.650227705467472,-0.03645528287487928,3.3341565742985297,1.8301013534810127,-15.881534598528498,-0.04508227202662446
25150,G,72.0,-49.74780655809555,494.2500694316679,-4.201198413110294,-0.0591085471769068,4.638877948406677,2.6703125762473627,-19.084907568639267,-0.09601945683544334
25150,G,102.0,-44.009848979040996,443.36744083533506,-2.894562977037952,-0.08286000125377824,4.922764520562587,3.062464900100315,-17.61636470297701,-0.19825476984878587
25150,G,120.0,-31.753236539435054,307.4017377291077,-1.8305530226086995,-0.07541702752725721,3.8189102727916278,2.530427991208756,-13.3422986729195,-0.2333440329368713
25150,G,126.0,-27.130462781493762,257.75095836992864,-1.482834333171555,-0.06897882723854569,3.298564715601695,2.2276680183553323,-11.759546138716106,-0.23036239101504627
25150,G,144.0,-14.997476537664877,133.83678426792272,-0.6753524406255654,-0.04595545928248227,1.80193949293256,1.2662124115172169,-7.465199027718144,-0.19084656441625458
25150,G,150.0,-11.887669703730616,103.90598848573306,-0.4995228845014824,-0.038984077867267465,1.4110417136198006,1.0014454582479564,-6.270799081158185,-0.17445912288069484
25150,G,168.0,-5.492762308200095,45.53483339928284,-0.19017310474642185,-0.023879838956743595,0.6337485533548634,0.46063947166466296,-3.4831294883108455,-0.13631855023669354
25150,G,174.0,-4.1806718016312105,34.167729587481425,-0.1364884988631891,-0.02058974749649547,0.48086880152489,0.35178692004165246,-2.8133790493840927,-0.12680085231612964
25150,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25150,F,6.0,-0.5591054036806679,0.06394484337897458,-0.0018593655720349992,-0.4892688103132789,0.005561078464399945,0.0026827045584468254,-0.0023692334272857685,-0.3005490047397406
25150,F,24.0,-9.418515742004207,39.84540860920997,-0.09086391870009,-2.8075187475515184,0.2605278755535379,0.13128717205017426,-0.13613535289977774,-2.610180161761159
