batch,state,t,mu0,qN,betaG0,betaF0,qEG,qEF,iG
25086,F,198.0,-522.764928698985,4623.345084296558,26.049403464057466,28.065931453478242,-22.665331668051063,-88.38145444135058,305.57654637801187
25086,F,216.0,-465.89814797123853,4194.947834784584,24.985558636337192,28.6241180797228,-21.643990400817486,-80.84697979356265,249.37034139478413
25086,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,E,12.0,14.805150188286262,-0.848697908853002,4.03289717008299,2.2872439565807676,-0.0026713973237489554,-0.001034624834851181,-21.100013733476786
25086,E,24.0,63.41820496742507,-9.056544119021643,9.113854743654903,5.2693812465569945,-0.01615917389102665,-0.005299141218052401,-47.57727410109248
25086,E,30.0,106.11566872462376,-18.43016964272137,12.123484218790123,7.148177599639508,-0.03892200602356535,-0.010272418034745528,-63.00366212927108
25086,E,48.0,330.7921858972419,-112.3386556996112,22.963003413250664,14.653217422638358,-0.3487385406960778,-0.05216912340442878,-116.44719479624253
25086,E,54.0,420.7546792702586,-282.67308072817684,27.048471327240268,17.915053189755017,-0.7009399753369098,-0.08458798767880069,-134.98186691858177
25086,E,72.0,506.56513805929353,-1717.261644345189,37.4190425210155,27.594527385507504,-3.4650913698796884,-0.2382175498791078,-176.6687722951408
25086,E,102.0,398.0967632294798,-2335.6624532187484,52.34373430915127,49.0502427830621,-25.144066881714714,-0.9903116516688679,-216.01764905179087
25086,E,120.0,277.96706679538823,-1821.7978166679814,57.66106145508973,63.1861494077373,-40.86961755606647,-1.8687509843943153,-228.31646821639742
25086,E,126.0,256.55326590697365,-1742.7920109171434,58.307343097941754,67.50314444334293,-43.997666405536435,-2.263988871915097,-228.00831426746896
25086,E,144.0,233.99683100197612,-1741.6203450949113,58.289596115625415,78.38749547107356,-48.04407749733059,-3.709200434169793,-218.9578055276431
25086,E,150.0,233.1011241021789,-1777.0011347237921,57.98444699550845,81.61412776216496,-48.375684105132095,-4.342351864358104,-214.2138988681836
25086,E,168.0,233.19159036257867,-1877.9754909324324,56.966046680415694,90.28476926322959,-48.35243513275301,-6.75335865840556,-197.73050284711462
25086,E,174.0,232.27762335419024,-1897.3972787745104,56.67927331839715,92.97344624728062,-48.238192695466786,-7.816690386045315,-191.42250509738156
25086,E,192.0,222.6905987710845,-1880.6418644418552,56.18875299315853,100.56317453237392,-48.041057206719174,-12.048040358899243,-169.9614702887107
25086,E,198.0,210.33148215148285,-1791.418415722967,56.461920319004506,103.81414225702362,-48.323030390256925,-15.137453743879929,-157.121869153322
25086,E,216.0,178.97803073656826,-1545.9026822394421,57.13270250472923,110.5539016506884,-48.96613985369814,-22.438694914350396,-128.54102725048344
