profiled_theta,theta_value,theta_hat,objective,lr_stat,success,status,error,estimated_betaG0,estimated_betaF0,estimated_Kn0,estimated_Kg0,estimated_Kf0,estimated_Kig0,estimated_Kie0,estimated_Kd0,estimated_Yxn,estimated_Yxg,estimated_Yxf,estimated_Yeg,estimated_Yef,estimated_mu0,lr_stat_rebased
Kf0,6.298616744622219,0.0772367913955493,3694.3223016238494,36.45310595241699,True,optimal,,2.0,1.44037377596732,0.8386716766502104,0.001,,25.16457959128409,7.7637057744557545,0.0012339468886360967,7.912072893350321,0.9720520643205259,0.10417445534682628,0.8631287803253379,0.5647100924199063,1.0,36.45310595241699
Kf0,7.558140093546663,0.0772367913955493,3698.9327711604788,45.674045025675696,True,optimal,,2.0,1.486162535421717,0.8389547668542832,0.001,,23.035976572318354,7.847932709317311,0.0012053399398229549,7.903837344406404,0.8674237506673654,0.10581477356542372,0.8736000888971467,0.5478736962109938,1.0,45.674045025675696
Kf0,8.817663442471106,0.0772367913955493,3703.243135501666,54.29477370805034,True,optimal,,2.0,1.529064587248681,0.8392312052188697,0.001,,21.154622023963412,7.934668421186078,0.0011820006943359764,7.896981569512629,0.788066201350021,0.10654906561067815,0.884180131456396,0.5329840247162114,1.0,54.29477370805034
Kf0,10.07718679139555,0.0772367913955493,3707.2461072230167,62.30071715075155,True,optimal,,2.0,1.5602890317811648,0.8395351456295991,0.001,,19.57998997100006,8.03124924037645,0.0011695012347327453,7.892344822661636,0.7375262993395647,0.10551607742865032,0.8949537974975644,0.5217275763496169,1.0,62.30071715075155
Kig0,20.746406218940894,41.49281243788179,3676.3234417433787,0.45538619147555437,True,optimal,,2.0,0.9985711856075533,0.8370632015662622,0.001,0.12064142534627739,,8.295030537708294,0.0015191848528237717,8.000321440544788,0.6295060013540374,0.06433307033322508,0.9313902541161138,0.6803060398106152,1.0,0.45538619147555437
Kig0,25.933007773676117,41.49281243788179,3673.725295537456,-4.740906220369652,True,optimal,,2.0,1.0368062670642513,0.8369350603374904,0.001,0.08108940884447453,,8.033485755493166,0.0015220654883707162,7.999681403249737,0.7767862304801902,0.06775453722788646,0.8992597199747467,0.6994139014912872,1.0,-4.740906220369652
Kig0,31.119609328411343,41.49281243788179,,,False,failed,"RuntimeError: Solver failed to return an optimal solution. Solution status: warning, Termination condition: maxIterations",,,,,,,,,,,,,,,
Kig0,36.30621088314657,41.49281243788179,3676.911665416758,1.6318335382338773,True,optimal,,2.0,1.0390353248529396,0.8415994207708194,0.001,0.07138943749319934,,7.861732882729149,0.001348020890278803,7.89463464468099,1.7482351124846796,0.07036787111938195,0.8568895899567945,0.7255547548717546,1.0,1.6318335382338773
Kig0,41.49281243788179,41.49281243788179,3676.7112741307787,1.2310509662756886,True,optimal,,2.0,1.061168212549271,0.8419953263980551,0.001,0.05972082412410412,,7.718939226310267,0.001342205820449788,7.889116263186447,2.9794967768507137,0.0726145987574426,0.8376339067505764,0.735601738818391,1.0,1.2310509662756886
Kig0,41.492812437881796,41.49281243788179,3676.711274130779,1.231050966276598,True,optimal,,2.0,1.0611682125492667,0.8419953263980549,0.001,0.05972082412410247,,7.718939226310289,0.001342205820449781,7.88911626318644,2.9794967768525717,0.07261459875744236,0.8376339067505737,0.7356017388183905,1.0,1.231050966276598
