mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrO2,kPyrDrain,kAldS_N,kAldRed,kAcAld,kAcStress,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
3.701778797006461,-2.6514276746828935,-2.4597861056318893,-0.22911745513238824,-0.715236286378107,-0.0036387663726600294,-0.005811284705004027,-1.8592250349968586,0.0,7.5794163252623,0.26503920848724993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1622966839313875,-3.3865671520080354,-3.4417712957894864,-0.35966673980336594,-2.2079738116420278,-0.023471842238720342,0.01158183828703363,-2.4331670023949314,-0.006178801553458069,10.144292438996699,0.40055980219693144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.048090111001634,-3.33919201655013,-3.5709950315122696,-0.3842642270935448,-2.8002695321427074,-0.03924216506704381,0.017457458129499503,-2.4329786646723695,-0.017025055524988453,10.636250551795678,0.43354976241464227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.147040984396443,-2.627290703130658,-3.4284916643263275,-0.38961375193367065,-5.1589507174157,-0.2628647358079883,0.06825045569363031,-2.036988287213082,-0.0679923831837348,11.747209350893817,0.5176445427428122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.648819052563689,-2.187504612868474,-3.162994693773724,-0.34451196589608823,-6.1071186035062786,-0.4820035095097541,0.11637519238127947,-1.7615634776556366,-0.08021944022966743,12.001235244978892,0.5295583927346748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4764290917167022,-1.1242602542856917,-2.2850917711613628,-0.2339616899032837,-8.592982485916888,-0.666049767225485,0.13151441105816453,-1.089740233617742,-0.09546257618568976,12.482753810822977,0.5323243082352436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1680632016431103,-0.837599491595542,-1.9867485661541728,-0.19930174536255674,-9.260980737351531,-0.695640127181818,0.1283560044341936,-0.9076409461669099,-0.09104794459258159,12.57364272055208,0.5323266827589546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.1564823173178714e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8019665876429549,-0.0006392846040537137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.189215374928601,-0.01677212377195758,1.3919433605735776e-06,-4.014561305609732e-06,8.363780779063745e-08,5.265299307666282e-09,2.7662894197533205e-06,-6.682626096932154e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.528269483468339,-0.024731898667695873,0.00031913390490245774,-4.576980749959603e-06,9.539657952473135e-08,6.005596020486337e-09,3.1545464018734037e-06,-7.612979047166846e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.959055031372088,-0.08080619702250935,0.004005841675747135,-5.102358802133722e-06,1.0638117053929363e-07,6.711342592780056e-09,3.5180399926559858e-06,-8.51242463184576e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.189630542761105,-3.0103139463464768,0.006759333070260887,-2.919946617829794e-06,-1.2047880915133646e-05,-3.320004937634735e-07,5.80169468022973e-06,-2.7796737178675812e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.924878418823345,-8.9000181200223,0.001028651752199572,1.7068126911823356e-07,-2.5237567591318566e-08,-8.273381979506667e-10,-1.109460301407239e-07,2.4426585198966677e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.47761612223319,-9.480101330483603,0.0010867835153360872,1.8343104812856836e-07,5.1203707940317145e-09,1.8469670237664104e-10,-1.2603711407876972e-07,2.8432709520131993e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.939685048436408,-8.94202920109588,0.0010250997948713092,1.73019842897304e-07,4.829736610645341e-09,1.7421619702417956e-10,-1.1888348083743949e-07,2.6818922638227605e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.373664340088903,-6.375335634114698,0.0007308581870812958,1.233567470393382e-07,3.4434233242564005e-09,1.2421175199506251e-10,-8.475953272579773e-08,1.912090041855663e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
