sample_id,acetaldehyde_mg_l,acetic_acid_g_l,ammonia_mg_l,glucose_g_l,glycerol_g_l,pan_mg_l,pyruvic_acid_mg_l,sugar_total_g_l,process,sample_number,sample_datetime_oculyze,t_h_schedule_reference,sample_datetime_schedule,sample_datetime_session,sample_datetime,time_source,t_h,fructose_g_l,yan_calc_mg_l,ammonia_mg_l_raw,ammonia_mg_l_below_zero,ammonia_mg_l_censored,pan_mg_l_raw,pan_mg_l_below_zero,pan_mg_l_censored,yan_calc_mg_l_raw,yan_calc_mg_l_below_zero,yan_calc_mg_l_censored,yan_for_model_mg_l,nitrogen_any_negative_raw,nitrogen_severe_negative_raw,nitrogen_qc_class,ethanol_percent_vv_rep1,ethanol_percent_vv_rep2,ethanol_percent_vv_rep1_num,ethanol_percent_vv_rep2_num,ethanol_percent_vv_final_calc,ethanol_g_l_manual_num,ethanol_g_l_from_percent_vv,ethanol_g_l_for_model_manual,ethanol_pending,ethanol_status,ethanol_sample_type,sample_volume_ml,ethanol_measurement_datetime,ethanol_method,operator,qc_flag,notes,reactor_volume_before_sample_ml,reactor_volume_after_sample_ml,cumulative_sample_volume_removed_ml,yan_for_model_physical_mg_l,nitrogen_physical_qc_flag,nitrogen_positive_rebound_before_N_pulse,nitrogen_manual_zero_between_50h_and_N_pulse,nitrogen_next_N_pulse_t_h,nitrogen_previous_N_pulse_t_h,nitrogen_has_conflicting_y15_export
DOE-LAB003-9,116.0,,-2.0,11.13,4.37,14.0,82.0,100.45,F3,9,2026-06-18 10:00:00,66.5,2026-06-18 10:00:00,2026-06-18 10:48:00,2026-06-18 10:00:00,oculyze_sample_id,66.5,89.32000000000001,12.0,-2.0,True,0.0,14.0,False,14.0,12.0,False,14.0,14.0,True,False,negative_raw_censored_to_zero,4.35,,4.35,,4.35,,34.3215,34.3215,False,measured,ethanol_50mL,50.0,,,,,,1735.0,1685.0,315.0,14.0,ok,False,False,,24.5,False
DOE-LAB003-10,109.0,0.52,2.0,10.36,4.44,15.0,79.0,103.95,F3,10,2026-06-18 12:30:00,69.0,2026-06-18 12:30:00,2026-06-18 10:48:00,2026-06-18 12:30:00,oculyze_sample_id,69.0,93.59,17.0,2.0,False,2.0,15.0,False,15.0,17.0,False,17.0,17.0,False,False,ok_raw_nonnegative,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1685.0,1680.0,320.0,17.0,ok,False,False,,24.5,False
DOE-LAB003-11,129.0,0.49,0.0,34.1,4.38,15.0,76.0,125.47,F3,11,2026-06-18 16:00:00,72.5,2026-06-18 16:00:00,2026-06-18 10:48:00,2026-06-18 16:00:00,oculyze_sample_id,72.5,91.37,15.0,0.0,False,0.0,15.0,False,15.0,15.0,False,15.0,15.0,False,False,ok_raw_nonnegative,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1680.0,1630.0,370.0,15.0,ok,False,False,,24.5,False
DOE-LAB003-12,90.0,0.6,-1.0,27.41,5.07,-26.0,76.0,105.78,F3,12,2026-06-19 10:00:00,90.5,2026-06-19 10:00:00,2026-06-19 10:18:00,2026-06-19 10:00:00,oculyze_sample_id,90.5,78.37,-27.0,-1.0,True,0.0,-26.0,True,0.0,-27.0,True,0.0,0.0,True,True,conflicting_y15_export_and_severe_negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1630.0,1580.0,420.0,0.0,ok,False,False,,24.5,True
DOE-LAB003-13,82.0,0.62,1.0,26.69,5.15,-27.0,47.0,104.06,F3,13,2026-06-19 12:00:00,92.5,2026-06-19 12:00:00,2026-06-19 10:18:00,2026-06-19 12:00:00,oculyze_sample_id,92.5,77.37,-26.0,1.0,False,1.0,-27.0,True,0.0,-26.0,True,1.0,1.0,True,True,severe_negative_raw_censored_to_zero,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1580.0,1575.0,425.0,1.0,ok,False,False,,24.5,False
DOE-LAB003-14,84.0,0.63,0.0,24.41,5.42,-27.0,50.0,97.81,F3,14,2026-06-19 16:00:00,96.5,2026-06-19 16:00:00,2026-06-19 16:24:00,2026-06-19 16:00:00,oculyze_sample_id,96.5,73.4,-27.0,0.0,False,0.0,-27.0,True,0.0,-27.0,True,0.0,0.0,True,True,severe_negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1575.0,1525.0,475.0,0.0,ok,False,False,,24.5,False
DOE-LAB003-15,36.0,0.61,-4.0,1.83,6.02,-1.0,59.0,30.96,F3,15,2026-06-22 10:00:00,162.5,2026-06-22 10:00:00,2026-06-22 09:29:00,2026-06-22 10:00:00,oculyze_sample_id,162.5,29.130000000000003,-5.0,-4.0,True,0.0,-1.0,True,0.0,-5.0,True,0.0,0.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1525.0,1475.0,525.0,0.0,ok,False,False,,24.5,False
DOE-LAB003-16,47.0,0.61,-3.0,1.1,6.1,-3.0,53.0,27.52,F3,16,2026-06-22 16:00:00,168.5,2026-06-22 16:00:00,2026-06-22 09:29:00,2026-06-22 16:00:00,oculyze_sample_id,168.5,26.419999999999998,-6.0,-3.0,True,0.0,-3.0,True,0.0,-6.0,True,0.0,0.0,True,False,negative_raw_censored_to_zero,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1475.0,1425.0,575.0,0.0,ok,False,False,,24.5,False
DOE-LAB003-17,41.0,,1.0,2.64,6.35,-7.0,52.0,,F3,17,2026-06-23 10:00:00,186.5,2026-06-23 10:00:00,2026-06-24 15:27:00,2026-06-23 10:00:00,oculyze_sample_id,186.5,,-6.0,1.0,False,1.0,-7.0,True,0.0,-6.0,True,1.0,1.0,True,False,negative_raw_censored_to_zero,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1425.0,1420.0,580.0,1.0,ok,False,False,,24.5,False
DOE-LAB003-18,41.0,0.6,,3.98,6.34,-5.0,51.0,18.26,F3,18,2026-06-23 16:00:00,192.5,2026-06-23 16:00:00,2026-06-24 15:27:00,2026-06-23 16:00:00,oculyze_sample_id,192.5,14.280000000000001,,,,,-5.0,True,0.0,,,,,True,False,negative_raw_censored_to_zero,,,,,,,,,False,not_measured,small_5mL,5.0,,,,,,1420.0,1415.0,585.0,,ok,False,False,,24.5,False
DOE-LAB003-19,40.0,0.62,1.0,1.3,6.44,3.0,,13.71,F3,19,2026-06-24 11:00:00,211.5,2026-06-24 11:00:00,2026-06-24 10:57:00,2026-06-24 11:00:00,oculyze_sample_id,211.5,12.41,4.0,1.0,False,1.0,3.0,False,3.0,4.0,False,4.0,4.0,False,False,ok_raw_nonnegative,TBD,,,,,,,,True,pending_TBD,ethanol_50mL,50.0,,,,,,1415.0,1365.0,635.0,4.0,ok,False,False,,24.5,False
