sample_id,analyte,station,value_raw,unit,analysis_datetime_raw,source_file,session_datetime,value,analysis_datetime,source_kind,process,analyte_canonical,analyte_priority,is_numeric
DOE-LAB003-18,GLUCOSE,ST1,"3,98",g/L,23-06-2026 16:52:18,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,3.98,2026-06-23 16:52:18,EXP,F3,glucose_g_l,1,True
DOE-LAB003-18,GLUCOSE-FRUCTOSE,ST1,Out High,g/L,23-06-2026 16:52:42,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,,2026-06-23 16:52:42,EXP,F3,sugar_total_g_l,1,False
DOE-LAB003-18,GLU-FRU-320,ST1,"18,26",g/L,23-06-2026 16:55:30,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,18.26,2026-06-23 16:55:30,EXP,F3,sugar_total_g_l,0,True
DOE-LAB003-18,PYRUVIC ACID,ST1,51,mg/L,23-06-2026 16:55:31,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,51.0,2026-06-23 16:55:31,EXP,F3,pyruvic_acid_mg_l,0,True
DOE-LAB003-18,ACETALDEHID-1000,ST1,41,mg/L,23-06-2026 16:56:42,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,41.0,2026-06-23 16:56:42,EXP,F3,acetaldehyde_mg_l,0,True
DOE-LAB003-18,ACETIC ACID,ST1,"0,60",g/L,23-06-2026 16:57:30,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,0.6,2026-06-23 16:57:30,EXP,F3,acetic_acid_g_l,0,True
DOE-LAB003-18,GLYCEROL,ST1,"6,34",g/L,23-06-2026 16:58:18,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,6.34,2026-06-23 16:58:18,EXP,F3,glycerol_g_l,0,True
DOE-LAB001-18,PAN,ST1,11,mg/L,23-06-2026 16:58:58,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,11.0,2026-06-23 16:58:58,EXP,F1,pan_mg_l,0,True
DOE-LAB002-18,PAN,ST1,-10,mg/L,23-06-2026 16:59:17,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,-10.0,2026-06-23 16:59:17,EXP,F2,pan_mg_l,0,True
DOE-LAB003-18,PAN,ST1,-5,mg/L,23-06-2026 16:59:34,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXP(2026-06-24 15-27).txt,2026-06-24 15:27:00,-5.0,2026-06-23 16:59:34,EXP,F3,pan_mg_l,0,True
DOE-LAB001-1,ACETIC ACID,ST1,"0,04",g/L,15-06-2026 17:03:07,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,0.04,2026-06-15 17:03:07,EXPAuto,F1,acetic_acid_g_l,0,True
DOE-LAB001-1,AMMONIA,ST1,225,mg/L,15-06-2026 16:52:18,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,225.0,2026-06-15 16:52:18,EXPAuto,F1,ammonia_mg_l,0,True
DOE-LAB001-1,GLYCEROL,ST1,"0,62",g/L,15-06-2026 17:03:08,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,0.62,2026-06-15 17:03:08,EXPAuto,F1,glycerol_g_l,0,True
DOE-LAB001-1,PAN,ST1,87,mg/L,15-06-2026 16:50:42,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,87.0,2026-06-15 16:50:42,EXPAuto,F1,pan_mg_l,0,True
DOE-LAB001-1,PYRUVIC ACID,ST1,3,mg/L,15-06-2026 17:00:19,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,3.0,2026-06-15 17:00:19,EXPAuto,F1,pyruvic_acid_mg_l,0,True
DOE-LAB001-1,GLU-FRU-320,ST1,"237,20",g/L,15-06-2026 17:00:43,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,237.2,2026-06-15 17:00:43,EXPAuto,F1,sugar_total_g_l,0,True
DOE-LAB001-1,GLUCOSE-320,ST1,"105,52",g/L,15-06-2026 17:00:19,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,105.52,2026-06-15 17:00:19,EXPAuto,F1,glucose_g_l,0,True
DOE-LAB001-1,ACETALDEHID-1000,ST1,17,mg/L,15-06-2026 17:02:43,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,17.0,2026-06-15 17:02:43,EXPAuto,F1,acetaldehyde_mg_l,0,True
DOE-LAB002-1,ACETIC ACID,ST1,"0,05",g/L,15-06-2026 17:10:44,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,0.05,2026-06-15 17:10:44,EXPAuto,F2,acetic_acid_g_l,0,True
DOE-LAB002-1,AMMONIA,ST1,25,mg/L,15-06-2026 16:53:06,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,25.0,2026-06-15 16:53:06,EXPAuto,F2,ammonia_mg_l,0,True
DOE-LAB002-1,GLYCEROL,ST1,"0,75",g/L,15-06-2026 17:10:45,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,0.75,2026-06-15 17:10:45,EXPAuto,F2,glycerol_g_l,0,True
DOE-LAB002-1,PAN,ST1,12,mg/L,15-06-2026 16:51:30,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,12.0,2026-06-15 16:51:30,EXPAuto,F2,pan_mg_l,0,True
DOE-LAB002-1,PYRUVIC ACID,ST1,12,mg/L,15-06-2026 17:07:56,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,12.0,2026-06-15 17:07:56,EXPAuto,F2,pyruvic_acid_mg_l,0,True
DOE-LAB002-1,GLU-FRU-320,ST1,"143,94",g/L,15-06-2026 17:07:32,fermentation_model\data\Laboratorio 2026\DOE_Lote_1\Y15_lote1\EXPAuto(2026-06-15 16-36).txt,2026-06-15 16:36:00,143.94,2026-06-15 17:07:32,EXPAuto,F2,sugar_total_g_l,0,True
