fit,medium,batch,state,n,sse,wsse,rmse,weighted_rmse,mean_bias
mixed_reduced11,natural,LAB009,Xd,12,0.0058164692746908025,1.615685909636334,0.02201603444971188,0.366933907495198,-0.014980311644896402
mixed_reduced11,natural,LAB009,N,12,0.0076472300001038974,53.05152342450323,0.025244190751048542,2.10260797234655,-0.0167636342032962
mixed_reduced11,natural,LAB009,G,12,938.2452588505479,150.11924141608765,8.842347250827256,3.5369389003309024,6.252496345255472
mixed_reduced11,natural,LAB009,F,12,1352.7216411797406,216.43546258875853,10.617287950867917,4.246915180347167,8.036625029530386
mixed_reduced11,natural,LAB009,E,5,496.18590531728586,123.71166726283894,9.961786037827613,4.974166608846932,-8.2969819488523
mixed_reduced11,natural,LAB009,Gly,12,13.81961475823536,112.8131816998805,1.0731423778727034,3.0661210796362957,-0.866142210417852
mixed_reduced11,natural,LAB010,X,9,6.146527587654834,698.9615829454378,0.8264063829251478,8.812627196531613,0.1668994823576397
mixed_reduced11,natural,LAB010,Xd,9,0.07872353999999987,21.867649999999962,0.09352571838804546,1.558761973134091,0.08793333333333325
mixed_reduced11,natural,LAB010,N,4,0.0236446244,160.80555555555554,0.0768840432079375,6.3404565205424195,-0.046904999999999995
mixed_reduced11,natural,LAB010,G,4,2201.8948677968383,352.30317884749417,23.46217630462293,9.384870521849173,-11.868066166652634
mixed_reduced11,natural,LAB010,F,4,2570.5443840273747,411.28710144437986,25.350268164397068,10.140107265758827,-16.638995283843204
mixed_reduced11,natural,LAB010,E,4,1560.093304598625,390.01938836331965,19.749008232051963,9.87445426800033,9.016294180434565
mixed_reduced11,natural,LAB010,Gly,4,11.870880325425915,96.90514551368095,1.722707195479394,4.922020558512554,1.1337423596640066
mixed_reduced11,natural,LAB011,X,7,5.11165516415481,1075.874376503269,0.8545387364081957,12.397432778622639,0.46191736253219007
mixed_reduced11,natural,LAB011,Xd,7,0.046539305251430005,12.927584792063893,0.08153816394042557,1.3589693990070928,0.05489061048843623
mixed_reduced11,natural,LAB011,N,4,0.06414967376942347,256.61608343429214,0.12663892941096694,8.009620519011687,-0.0915627695669601
mixed_reduced11,natural,LAB011,G,4,2068.46718339549,330.95474934327837,22.74020219454683,9.096080877818732,-14.191452631058983
mixed_reduced11,natural,LAB011,F,4,2795.128716377517,447.2205946204027,26.434488440186982,10.573795376074793,-17.829051869921976
mixed_reduced11,natural,LAB011,E,4,1545.3663541541125,385.97818191458884,19.655573981406093,9.823163720444,10.448445862338708
mixed_reduced11,natural,LAB011,Gly,4,10.438414492026684,85.21154687368725,1.615426761882652,4.615505033950436,1.101744927635682
mixed_reduced11,natural,LAB012,X,8,3.6073121070343364,236.86840059231304,0.6715013130138258,5.441373914191077,0.07996254695050459
mixed_reduced11,natural,LAB012,Xd,8,0.18833592050610698,52.31553347391862,0.15343399252858986,2.5572332088098317,0.12904392774888448
mixed_reduced11,natural,LAB012,N,4,0.14760282953755133,421.84181035911917,0.19209556836217703,10.269393973832136,-0.15929498736951747
mixed_reduced11,natural,LAB012,G,4,2552.4065658125573,408.38505053000915,25.26067381233405,10.10426952493362,-17.773226809492574
mixed_reduced11,natural,LAB012,F,4,2174.1670922136655,347.86673475418644,23.31398235080005,9.325592940320021,-16.324776603603222
mixed_reduced11,natural,LAB012,E,4,1878.4869847328268,469.3824954422809,21.670757858995305,10.832618513571418,13.574360599245281
mixed_reduced11,natural,LAB012,Gly,4,12.930199636406673,105.55265009311572,1.7979293392960882,5.136940969417395,1.3325496595732347
mixed_reduced11,synthetic,MS007,X,8,0.6799842949561332,109.02872602023477,0.2915442279818221,3.6916921259131765,0.24270292348885705
mixed_reduced11,synthetic,MS007,Xd,9,2.7598167097890522,332.0722019310876,0.5537565359322384,6.074282782821063,-0.5040930842245933
mixed_reduced11,synthetic,MS007,N,9,0.2345937743172475,721.9315071913031,0.16144960490548935,8.956261045221092,-0.14004622720599846
mixed_reduced11,synthetic,MS007,G,9,1952.1558012014573,308.86412202513,14.727735743606186,5.8581768307699615,-11.351833898744268
mixed_reduced11,synthetic,MS007,F,9,1707.63029154381,270.66663527356866,13.77449451197478,5.483983094973222,-9.256421259977246
mixed_reduced11,synthetic,MS007,E,4,682.8895551397766,170.72238878494414,13.066077788875441,6.533038894437721,11.314090311838456
mixed_reduced11,synthetic,MS007,Gly,9,8.241181660023038,67.27495232671869,0.9569152789634362,2.7340436541812463,0.6346565177568874
mixed_reduced11,synthetic,MS008,X,8,0.35004211331790247,53.8059908647133,0.20917759001560804,2.593404877393648,0.009346304790870272
mixed_reduced11,synthetic,MS008,Xd,9,1.910836444001186,285.2885461778551,0.4607766926012819,5.630162284792065,-0.40601692544607687
mixed_reduced11,synthetic,MS008,N,9,0.1057808765850697,437.02713833245394,0.10841324057362371,6.968398017179287,-0.09132261959012432
mixed_reduced11,synthetic,MS008,G,9,695.9974146042698,106.04022555396313,8.793920972304736,3.4325278270938577,-5.520389578769907
mixed_reduced11,synthetic,MS008,F,9,609.5076624055973,95.80875980845663,8.229402991749883,3.26273164028168,-2.6756126224129897
mixed_reduced11,synthetic,MS008,E,4,349.8964568178251,86.28835441952246,9.352759710612492,4.644576256762356,7.776447578315478
mixed_reduced11,synthetic,MS008,Gly,8,4.413306643784038,36.026993010481945,0.7427404193074487,2.122115483735568,0.5155657877483314
mixed_reduced11,synthetic,MS009,X,8,0.542316078669364,93.93979187382622,0.26036418692606417,3.426729342131981,-0.0714540256220373
mixed_reduced11,synthetic,MS009,Xd,9,2.4346391231582443,230.50785193752432,0.5201110055831292,5.060828346092546,-0.42911811265268934
mixed_reduced11,synthetic,MS009,N,9,0.019882730166947152,107.93985197245371,0.04700204507010206,3.4631368563526608,-0.038857114220224434
mixed_reduced11,synthetic,MS009,G,9,2910.5242271482875,465.4822710016439,17.98309152493681,7.1916793820022304,11.216971148887502
mixed_reduced11,synthetic,MS009,F,9,1711.9381040737035,273.7778639767831,13.79185792042095,5.515411377593427,10.006838581613792
mixed_reduced11,synthetic,MS009,E,4,930.7533986948231,166.68318439683185,15.254125660741941,6.455292100223502,-12.867029108661784
mixed_reduced11,synthetic,MS009,Gly,9,16.775803705146394,136.1972834203642,1.365275865699204,3.8901197270973005,-0.491178287243323
mixed_reduced11,synthetic,MS010,X,8,3.076740572457618,276.2053241301923,0.6201552801977922,5.875854449888462,0.0698288389763995
mixed_reduced11,synthetic,MS010,Xd,9,2.4634367670413484,360.74317493896353,0.5231779776882124,6.331080081093444,-0.4703197729647146
mixed_reduced11,synthetic,MS010,N,8,0.09861738111161267,382.018742287727,0.11102780119840068,6.91030699650644,-0.08761133586478567
mixed_reduced11,synthetic,MS010,G,9,96.37040760110764,14.204291991458557,3.2722810189208595,1.2562860604645814,-2.3459772353348622
mixed_reduced11,synthetic,MS010,F,9,453.7453010567597,69.00980454082784,7.100432702438788,2.7690713353201972,-5.623649478445038
mixed_reduced11,synthetic,MS010,E,4,131.2551811160822,17.85062034400621,5.728332678801097,2.112499724497391,-3.9773447416213195
mixed_reduced11,synthetic,MS010,Gly,9,1.3323293983067963,9.790162287912965,0.38475524663331917,1.0429745010152967,0.07712691850110813
mixed_reduced11,synthetic,MS011,X,8,1.6919922841790567,127.85756134897433,0.459890242908438,3.997773776568878,-0.13546814192113338
mixed_reduced11,synthetic,MS011,Xd,9,0.9690037810073342,123.89861598661983,0.32812663222998634,3.710325172731118,-0.27162717183338725
mixed_reduced11,synthetic,MS011,N,8,0.06788318071838666,361.0894857227096,0.092116217843539,6.71834694812189,-0.07880553831874941
mixed_reduced11,synthetic,MS011,G,9,147.60005764299152,23.42263096312103,4.049692137036695,1.6132310905316363,1.2767215581523539
mixed_reduced11,synthetic,MS011,F,9,55.57571989701009,8.692216553276456,2.4849708224759257,0.9827521759085245,1.1740382178339515
mixed_reduced11,synthetic,MS011,E,4,156.4218644958309,29.90209876156635,6.2534363452391295,2.7341405761942066,-5.24473781313775
mixed_reduced11,synthetic,MS011,Gly,9,4.973409239148099,38.0835194462435,0.7433713920860897,2.057061535465996,0.07852277522862872
mixed_reduced11,synthetic,MS012,X,8,0.7851460298540959,108.26391805008033,0.31327823692647716,3.6787212120871624,-0.01560608207511592
mixed_reduced11,synthetic,MS012,Xd,9,1.452825199153478,326.32057674267037,0.40177732903707275,6.021448485231499,-0.35444718867923847
mixed_reduced11,synthetic,MS012,N,8,0.04886448380686349,285.62161099106675,0.07815408163274606,5.975173752610324,-0.054731909679248875
mixed_reduced11,synthetic,MS012,G,9,2154.3855471039765,344.22651237620244,15.471786318988569,6.184447450178754,9.549123664229406
mixed_reduced11,synthetic,MS012,F,9,743.3019948607933,118.63113230777294,9.087855112186162,3.630597323180565,6.843594306215804
mixed_reduced11,synthetic,MS012,E,4,923.1478978370428,173.81605088397362,15.191674511365122,6.591965770617548,-12.989329665219667
mixed_reduced11,synthetic,MS012,Gly,9,10.946834192162825,87.75088875731497,1.1028666783615841,3.1225148119444968,-0.1077053980130344
mixed_reduced11,synthetic,MS013,X,7,2.2706601749106676,191.79728546769363,0.5695436989268148,5.234463889422728,-0.09495107734522021
mixed_reduced11,synthetic,MS013,Xd,8,1.9274758777343446,319.9694957012573,0.49085077642476344,6.324253866082319,-0.4476022582730239
mixed_reduced11,synthetic,MS013,N,8,0.09995190339133492,506.2921204480991,0.11177650881968386,7.955282210959734,-0.09621562329503253
mixed_reduced11,synthetic,MS013,G,8,335.3804400669035,52.89197971644563,6.474762930668809,2.571283233048375,0.46674749411550503
mixed_reduced11,synthetic,MS013,F,8,328.2429808448866,49.794514810047666,6.40549550039736,2.494857581357292,-1.154188930320816
mixed_reduced11,synthetic,MS013,E,4,148.70007339688385,21.521371726856806,6.097131977349758,2.3195566239508363,-4.561136920336745
mixed_reduced11,synthetic,MS013,Gly,8,2.0989954635515296,16.669218028247357,0.5122249827409253,1.4434861459435346,-0.0058530815551004894
mixed_reduced11,synthetic,MS014,X,7,1.1152866364180656,179.5868257577289,0.39915744054876134,5.0651022519326006,0.019689678279790623
mixed_reduced11,synthetic,MS014,Xd,8,1.829877774311881,294.98947026573103,0.47826218937836296,6.072370524203572,-0.42386933948899924
mixed_reduced11,synthetic,MS014,N,8,0.12265323585081425,604.6777516686238,0.12382105831138653,8.693947259937685,-0.10982268959068714
mixed_reduced11,synthetic,MS014,G,8,204.7808695780841,29.314088372548373,5.05940793939968,1.9142259653887643,-3.6438919206108924
mixed_reduced11,synthetic,MS014,F,8,36.047907209537,5.55490510820812,2.1227313539852672,0.8332845483542911,-0.999200185857172
mixed_reduced11,synthetic,MS014,E,4,60.0585173720477,8.22721883532645,3.8748715260008204,1.4341564450336695,-2.260397359133492
mixed_reduced11,synthetic,MS014,Gly,8,4.133264017932185,33.232731620378054,0.7187892613565697,2.0381588388904475,-0.14443223406208439
mixed_reduced11,synthetic,MS015,X,7,1.3314367087799523,352.12966461903477,0.43612526195053386,7.092548047261946,0.29922086769536477
mixed_reduced11,synthetic,MS015,Xd,8,1.7961978349872068,292.6064644021518,0.4738404049607851,6.047793651429336,-0.4245549701341413
mixed_reduced11,synthetic,MS015,N,8,0.20890212922900087,785.7493093743324,0.16159444963743375,9.91053296608167,-0.1445429652474033
mixed_reduced11,synthetic,MS015,G,8,1804.729970080823,282.0104891146125,15.019695278536874,5.937281460342483,-13.348525380218007
mixed_reduced11,synthetic,MS015,F,8,1773.8627125606554,280.591612246,14.89069639305301,5.9223265302370836,-12.453422151660376
mixed_reduced11,synthetic,MS015,E,4,532.2104755230635,131.1246886766198,11.534843686880453,5.725484448424862,9.64780895927022
