batch,state,t,mu0,betaG0,betaF0,Kn0,Kig0,Kie0,Kd0,Yxn,Yxf,Yeg,Yef
25086,F,168.0,-0.3965115149876664,-0.6838511733798304,-4.055612579584177,0.2674012116720421,-1.0113500044054908,-3.6054986186279536,0.019788568540352654,-7.702797899148625,3.193567273160692,2.665735196969159,5.914374005158982
25086,F,174.0,-0.37624313791015435,-0.6579890125860315,-4.074998623111636,0.2639691674854339,-0.952692078991765,-3.5926585717311084,0.03668423575504464,-7.7201473225251265,3.1842059549821937,2.7716311514222722,6.080009170834423
25086,F,192.0,-0.31783572762420575,-0.5587967442465167,-4.053248384267738,0.2515660134059301,-0.7864768061927639,-3.507991983105743,0.11839733330774957,-7.680273290520178,3.159080299123579,3.041953587546432,6.519616172266407
25086,F,198.0,-0.28605644972993527,-0.4661813593431797,-3.982311266150285,0.24102365798024003,-0.7010648827586977,-3.3803497602322263,0.21223556538932475,-7.569437979468038,3.137880014269605,3.1337922892917174,6.684401860715367
25086,F,216.0,-0.2381029985014234,-0.3426214468876216,-3.8534654085305413,0.2249695324012847,-0.5703249690750606,-3.199949246675114,0.38443399297647285,-7.424234295794171,3.1242598454403803,3.329718411935018,6.9769704135544774
25086,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,E,12.0,1.6432872008215944,2.5074530813676565,1.5375827495573722,-1.178726253336366,0.8355726707336522,2.3406959015536657,-2.2103877389801817e-06,0.8074291125564299,0.005625935490789914,-0.0506000887078927,0.0025030934250881553
25086,E,24.0,3.9501225843953076,5.164485412928574,3.1601091441761504,-2.6755612276094705,1.703439401557074,5.125948598587647,-5.711135582964672e-06,2.371177675593352,0.019722100037229743,-0.1663043517092519,0.008415874434559736
25086,E,30.0,5.453242175241132,6.786495666854106,4.2428518377795434,-3.541517544321856,2.221516754265963,6.9962561432691,-8.139774918545013e-06,3.9373115313468023,0.04258508770650716,-0.28276118885730034,0.017302824499556328
25086,E,48.0,6.438500699960873,11.086776257706475,7.246855057126298,-3.9072556251621564,3.524997897945721,12.539675327069657,-1.5180828234787238e-05,9.769709839687584,0.13720509090885072,-0.787152898899376,0.06536060583679797
25086,E,54.0,6.227425655553237,12.28429353407519,8.164015976397124,-3.752765477968793,3.86717596988031,14.23239227028321,-1.744556596097985e-05,11.607703503453289,0.17102943639874757,-0.9714873960406802,0.08824576809583304
25086,E,72.0,5.5458252025858785,15.134604656406387,10.434947958251238,-3.326709618849187,4.641126514334283,18.53633433384565,-2.249471326052551e-05,16.05195489419174,0.25414867580675116,-1.4835531762731917,0.16020179354934705
