batch,state,t,mu0,sN,qN,qXG,qXF,betaG0,sG,betaF0,sF,qEG,qEF,iG,iE,Kd0,m0
25086,G,216.0,-1.5971185929674537e-06,1.6290493933895267e-11,3.6601530648120227e-06,1.1759159626528751e-09,1.8751726377342524e-08,1.0257356306195723e-09,-6.174805548483632e-09,5.5344888214226465e-08,-6.352198449138946e-08,-2.0082443406149158e-08,-1.5854957562358658e-08,1.8456175313774997e-08,1.2343752639886798e-08,3.4634650380271292e-09,5.983124604099645e-08
25086,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,F,12.0,-2.2671318561598177,-0.002475677199127117,1.1781388893916502,-0.01137361963128943,-1.3659692818975473,0.028676439615770242,-0.002294332672616922,0.1272157056014021,-0.907598687616031,-0.015342514217203278,-0.6639600247431258,7.314506076068244,3.066067803294826,2.0710074398828925e-11,-1.4615236629705284
25086,F,24.0,-8.379471261268788,-0.008698290769869076,75.26525369500766,-0.12693434200956974,-3.8238797077568165,0.31172688281636984,-0.06436658952772613,0.5350850444331741,-3.2642346451170434,-0.1866142785777036,-2.3905524294523697,25.18843838376423,13.115800577894092,-8.28402975953157e-11,-5.544968932170491
25086,F,30.0,-13.940357311108304,-0.013694741677083665,178.5560881951478,-0.3341529468395004,-6.302658629491781,0.7689381160162008,-0.26126154845590177,1.0007251719016956,-5.535632658695495,-0.5055530835168408,-3.9429554685766175,39.426880128446584,24.039571256749053,-2.0710074398828925e-10,-9.461357958049078
25086,F,48.0,-27.799405589375368,-0.01164834458677937,498.7357026614737,-1.274695292928274,-6.569819334380472,3.532774290216991,-2.6971326576763985,3.1827726158138274,-13.883316065905985,-2.7992144226681095,-9.323823523478927,78.45702718308462,74.449624643264,0.0,-24.8254250243172
25086,F,54.0,-33.35128418009561,-0.011956025659772284,613.0315984434737,-1.6223094116240389,-6.514482135270126,4.8548877936036705,-4.394243615095484,4.123729732750855,-16.938788013833236,-3.9897976575741656,-11.144338472539964,87.84269026845816,95.57039116312623,1.0355037199414463e-11,-30.592234196841726
25086,F,72.0,-50.190054727231455,-0.012911523740223354,957.5126825153307,-2.666358661592546,-6.327180596032562,9.73750340568922,-12.622184393052468,7.353178651632778,-25.840515164687066,-8.370099674670836,-16.260804056080442,103.7479969762229,166.93777143747084,1.0355037199414463e-11,-48.52782234120563
25086,F,102.0,-68.5030039317722,-0.011870763916893961,1298.4248454642352,-3.4054587129871563,-5.51404362295391,16.197328787043364,-25.51508799434073,14.037868618289629,-48.251436467535704,-13.216130438095725,-23.133853575162554,90.75304309520405,257.5222779294692,0.0,-76.40752005008348
25086,F,120.0,-60.74767537938622,-0.008951242483755126,1088.4888009796707,-2.822695007464955,-4.310346183525106,14.700670979321915,-21.737027106612445,15.462879399691056,-58.12579384317611,-11.86084668473626,-21.526030556388232,67.10315963136416,234.69473046270332,-1.0355037199414463e-11,-78.01352046180105
25086,F,126.0,-54.15657983127717,-0.007516508281623197,941.6833807766184,-2.431279557682759,-3.6688910925869553,12.93963113878132,-18.622172849718776,14.573355583641282,-57.541263581504595,-10.4959906481794,-19.39063842414496,56.02516688570359,206.63153910108647,-1.2943796499268078e-11,-72.7733946135404
25086,F,144.0,-30.299739792310483,-0.002911175465729624,465.56336997204875,-1.001893512167979,-1.4722245654301707,5.749855042444339,-7.58350519782504,7.648539415969291,-35.317786506384714,-5.068158658095,-11.071381422196922,21.377058067293845,95.56851073505555,-7.086728583349274e-11,-40.66461276972558
25086,F,150.0,-22.856310282348918,-0.0017634562977591885,333.3797247352589,-0.6158389577866575,-0.8988574050825773,3.652640477320371,-4.700401462297135,5.08244918161389,-24.44463870346994,-3.3981151465659503,-8.393187934489903,12.874400278892729,62.213389090029004,-1.663277850155948e-10,-29.080879081339685
25086,F,168.0,-7.237406523959656,-5.215544911959946e-05,83.37401596591083,-0.018458403126929212,-0.02682683927478409,0.23279961351878747,-0.1582960074411401,0.5642468875890561,-1.8808725652800444,-0.4539775996588792,-2.7208900197673134,0.40464693384033734,7.584524804278382,-2.70471043563452e-07,-1.8357661951328164
25086,F,174.0,-4.282547542552809,-7.36900527597446e-06,42.98222582990908,-0.002616023428240064,-0.0038014279893383257,0.04135102685623797,-0.022558557717409885,0.1372972479038291,-0.34027946779535756,-0.13397315379968247,-1.6172335983517596,0.05805359175415459,2.0363300704582263,-4.4903455264022775e-08,-0.3426225521831597
25086,F,192.0,-0.31548788192732796,-1.8322662859839685e-08,1.0820521791649251,-6.564441171157506e-06,-9.513327068127007e-06,0.00013007664236965513,-5.613629448202215e-05,0.0005433898602055761,-0.0010264267137112737,-0.0005683084603290222,-0.09798226976273397,0.00014465735091800903,0.007018892918917542,-1.143894362974913e-10,-0.0016962611091061724
25086,F,198.0,-0.04562716663881878,-1.5898354936469276e-09,0.12279758569984218,-5.712084514583131e-07,-8.281393842541719e-07,1.2219161660589937e-05,-4.862426290717581e-06,5.258605693604304e-05,-9.229488280041156e-05,-5.38758605095932e-05,-0.01136646547097827,1.2552393368900561e-05,0.0006194999089848911,2.4185875113829094e-06,-0.000192424921454318
25086,F,216.0,-0.0002251035183499141,-8.392331792216035e-12,0.0005154795277764975,-3.045034486794442e-09,4.386425305638202e-09,5.2827572833253525e-08,-1.289627927248044e-08,1.9833115935314148e-07,-3.419924553052029e-07,-1.7100555595064968e-07,-3.8623409892922426e-05,1.0683198400330874e-07,1.6840454688589374e-06,8.879810133145999e-08,-5.702961214241654e-07
25086,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,E,12.0,11.251231690927776,0.008683102530683983,-3.564378353099535,0.012269639559380183,-0.0025325930798709485,6.62451419758304,5.806309603596129,2.4410733250744245,1.8021966519310193,0.01655146177285096,-0.0012280809719958166,-14.52062079886667,-22.90641618940806,-1.0703002434209305e-11,0.008352493438690508
25086,E,24.0,50.5335661782954,0.0449010157826039,-232.0136220346542,0.12742306858674193,-0.026392125143649026,21.283053273544734,20.3211953330958,8.335494696390521,6.237920647662143,0.18760574869472885,-0.014586807668769393,-48.117468475675324,-90.39586440946513,2.140600486841861e-10,0.09617695079299127
25086,E,30.0,77.06481909911037,0.06242271584349833,-614.5160431715703,0.30124160861746024,-0.07236081972003848,31.498796895896483,33.447514707011045,13.281399379122414,10.378851890935405,0.4550474673718564,-0.04306297980219355,-73.6266466539362,-152.38380384476403,8.562401947367444e-10,0.2201268791598107
25086,E,48.0,131.52524910541848,0.05511329329851868,-1857.6565725920873,0.7780316334988877,-0.2865265786916873,55.282924486496015,80.20002406516011,29.20529308376451,25.213876803824277,1.5879362202709053,-0.2882665318014919,-140.1509507501627,-369.36382774634865,4.281200973683722e-11,0.5010001387622883
25086,E,54.0,145.61860625912803,0.05229996165148597,-2180.1726486562848,0.7885110961278338,-0.3778162921629674,60.41203777828303,96.51615994442733,34.46217801533378,30.736462239454617,1.6259069671394537,-0.4485400965038537,-155.92062135786426,-437.33258863355036,8.562401947367444e-11,0.18986357780926238
25086,E,72.0,170.88187573152956,0.04395422435638657,-2761.770935532376,-0.011491307558887116,-0.720011805591055,70.98721581103409,135.9280741995873,49.87983381891008,47.68266041700971,-2.090627465083318,-1.2721182584073993,-184.91157392079825,-594.7360369434499,8.562401947367444e-11,-4.33286359952842
25086,E,102.0,150.53027362430706,0.025271032299789636,-2416.4572585037313,-5.3020768949737125,-2.449023123847076,92.80579215231256,98.66526692526489,82.74774927633307,96.25310784152653,-26.15051115823247,-7.845793294723424,-177.61534881195138,-589.0000325449338,1.2843602921051165e-10,-43.10543654258154
25086,E,120.0,116.36710041140687,0.01685734033878689,-1701.0304599122037,-7.673348072857408,-4.919972471821731,104.15151869675144,57.741829292723104,101.50000469894296,117.51493019712339,-39.95216295432368,-20.404071001190424,-134.85693624280202,-491.9053478876972,0.0,-88.86240139175068
25086,E,126.0,100.04399551207327,0.013713031076294523,-1360.7152630408827,-8.587218311497159,-6.220189653912667,108.83396015653673,46.40684664580014,108.50782868353193,116.5677317482349,-44.64227710431167,-26.987454313716675,-113.06516178947238,-429.0787799866503,8.562401947367444e-11,-114.84138801351156
