,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS,kPyrD,kAldPyr,kAldS,kAldRed,kAcAld,kAcStress,kAcAssim,qO2,kLaO2,O2sat,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss
kLaO2,-11.274586793876711,5.700438551965017,2.0975104629970724,1.1440130440492655,-3.584604021971506,-3.974521684569195,0.5147149966800272,1.983537182263579,0.0,0.0,0.0,5.545675996471511,-2.4347812449944737,-0.08903552025525342,-15.771989162884552,0.07760413046448407,1.013364861146356,0.7764204077303664,-0.00026695121883446446,-11.304523236738051,1.4035336014221673,2.136157220638923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2sat,-16.220086951634695,7.685211012174888,2.6885480392362737,1.4577951563528464,-4.635370008036544,-5.067425209756324,0.6617108650803354,2.535655661782006,0.0,0.0,0.0,7.401025864186241,-3.178459418392881,-0.11390120371707176,-20.435982718888763,0.09869171637124612,1.315216684486046,0.9941659975950969,-0.0003504053854272703,-17.407940355623825,2.136157220638923,3.3045501695499424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,128.46155488775352,-24.824504082169472,-53.87061501968664,-29.88691056069191,93.90126018973183,99.76525623396144,-12.363648229534302,-52.76725468731872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.44066826011509,206.66091065927404,0.0,0.0,0.0,0.0,-12.913344807368288,0.0,0.0
k_EA_stationary,678.5977441921026,-184.25098089426282,-304.22866615957423,-180.39012677512676,463.19517615379357,578.617008950442,-61.60233133871402,-301.4174663893109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.66091065927404,1245.342436488377,0.0,0.0,0.0,0.0,-82.54047866124645,0.0,0.0
k_IAA_growth,99.15049570926055,-11.642961764677613,-39.49109887631284,-22.294504350911144,66.45159004979978,73.58509977813442,-8.61510113552507,-39.49026548094599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.81505951896459,161.5947846262309,0.0,0.0,0.0,-10.82151207924478,0.0
k_IAA_stationary,758.2199344950997,-149.48679592073916,-322.50302770362515,-195.08050790246688,473.23963272058575,621.1998377473207,-62.261028288463,-327.29068600730017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.5947846262309,1404.019797307383,0.0,0.0,0.0,-100.82370218915227,0.0
k_EO_growth,101.00879233753585,-12.439078639442613,-39.68663740640781,-22.606677797886306,68.19142373132942,74.95421825157617,-8.870080222136268,-40.220559889512174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.039908374550123,165.6176493638442,0.0,0.0,-13.56819293923107
k_EO_stationary,731.0874157171697,-149.9135646739778,-305.2588917210955,-187.40739641402212,457.2707428820946,599.1082008249483,-60.28542238973692,-316.0645486660483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.6176493638442,1367.6587531504097,0.0,0.0,-120.65031623377646
alpha_EA_loss,-43.47763392909974,12.915302584208353,20.178461138681097,12.427877777039521,-29.515358743205333,-38.767805600505525,3.9406756549521123,19.77777700610864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.913344807368288,-82.54047866124645,0.0,0.0,0.0,0.0,6.448156783711916,0.0,0.0
alpha_IAA_loss,-52.5272881773972,12.03904104207942,23.158677811164914,14.669044263699325,-32.56340854813413,-45.34846112132158,4.311627227546421,23.337592094235923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.82151207924478,-100.82370218915227,0.0,0.0,0.0,8.793748617789962,0.0
alpha_EO_loss,-62.69434077056195,15.09047856902515,26.973761799074275,17.523744931446828,-39.064264858234296,-54.182817658693125,5.166591797165766,27.911680708777347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.56819293923107,-120.65031623377646,0.0,0.0,13.519052341873882
