batch,state,t,mu0,betaG0,betaF0,Kn0,Kg0,Kf0,Kig0,Kie0,Kd0,Yxn,Yxg,Yxf,Yeg,Yef,m0
25170,N,180.0,7.290207629805747e-09,-3.7368691568986525e-16,7.380111366781467e-09,-3.0601818636381385e-07,1.558729225882596e-17,-1.9544676807754232e-10,-1.4443098456010134e-18,4.8668533374636944e-12,0.0,9.380047526524389e-11,1.0903178653154481e-16,1.2825390734218064e-16,2.9915322526366744e-09,-3.3887887072352907e-09,-1.9467413280113753e-08
25170,N,186.0,7.290207629805748e-09,-3.7368691568986525e-16,7.3801115475109545e-09,-3.0601818636381385e-07,1.558729225882596e-17,-2.1828229243564452e-10,-1.4443098370698169e-18,4.8668543540670024e-12,0.0,9.380047526524389e-11,1.0903178653154481e-16,1.2825390714496334e-16,2.991532252636673e-09,-3.3887887083699265e-09,-1.946741734652698e-08
25170,N,204.0,7.290207629805747e-09,-3.736869142874313e-16,7.380110190440795e-09,-3.0601818636381385e-07,1.558729230089898e-17,-2.2139553793303609e-10,-1.4443098456010134e-18,8.692281136967985e-15,0.0,1.0134599875866525e-10,1.0903178653154481e-16,1.2825390734218064e-16,3.388116287289255e-09,-3.388788699850099e-09,-3.4769124272237125e-11
25170,N,210.0,7.290207629805747e-09,-3.7368691568986525e-16,7.38010898142137e-09,-3.0601818636381385e-07,1.558729225882596e-17,-2.2139553793303606e-10,-1.4443098370698169e-18,8.68548040270281e-15,0.0,1.0134599875866525e-10,1.0903178653154481e-16,1.2825390714496334e-16,3.388116287289254e-09,-3.3887886922597412e-09,-3.474192133618519e-11
25170,N,234.0,7.290207629805747e-09,-3.7368691568986525e-16,7.380107526918468e-09,-3.0601818636381375e-07,1.558729225882596e-17,-2.2139553793303606e-10,-1.4443098370698169e-18,8.677298823817668e-15,0.0,1.0134599875866525e-10,1.0903178653154481e-16,1.2825390714496334e-16,3.388116287289254e-09,-3.3887886831282136e-09,-3.4709195021655365e-11
25170,N,252.0,7.290207629805747e-09,-3.736869142874313e-16,7.380116611068155e-09,-3.0601818636381385e-07,1.558729225882596e-17,-2.7056474599277605e-11,-1.4443098456010134e-18,8.236179045027508e-15,0.0,1.2533807670253291e-11,9.10964463046011e-10,1.2825390734218064e-16,3.388116287289254e-09,-3.3887887401594933e-09,-3.317366779804109e-11
25170,N,276.0,1.1142244805875318e-08,-3.736869142874313e-16,1.2753731423505466e-11,-3.0601818636381385e-07,1.558729230089898e-17,-2.7061747735276425e-11,4.4253261649581075e-11,1.0010675460491002e-19,0.0,1.2535212797013284e-11,-1.2506994886231623e-10,-1.0360342832521142e-09,3.3887880111559488e-09,-3.388788695803875e-09,-2.749244964104106e-14
25170,N,300.0,1.1142244805875318e-08,-3.736869142874313e-16,1.2758201494786365e-11,-3.060181863638139e-07,1.558729225882596e-17,-2.706174773420231e-11,4.425326164958108e-11,1.377107260388972e-20,0.0,1.2535212796258452e-11,-1.2506994886231626e-10,-1.0360342832521142e-09,3.3887880111667224e-09,-3.3887887238674692e-09,-3.799177170506606e-15
25170,N,324.0,1.114224480587532e-08,-3.7368691568986525e-16,1.275580811925234e-11,-3.060181863638139e-07,1.558729225882596e-17,-2.7061747765477923e-11,4.4253261649581075e-11,-4.75379769528267e-21,0.0,1.2535212833393744e-11,-1.2663782531116823e-10,-1.0360342832521138e-09,3.388788011818231e-09,-3.388788708841595e-09,-3.7911592074912054e-16
25170,N,330.0,1.1142244805875318e-08,-3.736869142874313e-16,1.2750833852654902e-11,-3.0601818636381385e-07,1.558729225882596e-17,-2.7061747749091297e-11,4.4253261649581075e-11,-1.5871794911203863e-21,0.0,1.253521285292136e-11,-1.2682643262571883e-10,-1.0360342832521142e-09,3.388788011500532e-09,-3.388788677612611e-09,-3.7023147327821245e-16
25170,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25170,G,12.0,-0.019164950380817287,-0.01573689965050099,0.0001110950666878421,0.019693763375059896,3.8175196423295265e-05,-2.4067640907653557e-07,4.7053969539879156e-07,-1.8503172366233793e-05,0.0,-1.3277811636310135e-06,0.000328234096620086,5.386270930665254e-08,0.007698471840896184,3.8465144496578505e-07,-0.0043825596760089635
25170,G,18.0,-0.0493807146442446,-0.029524798753250744,0.00035279955258671385,0.05489417349197639,7.476407101362379e-05,-7.635878201913504e-07,1.4890472179307458e-06,-3.6918601074555405e-05,0.0,-8.334492678668121e-06,0.0006438085856109004,2.0439276488708385e-07,0.014659731189989617,1.468246498901524e-06,-0.008553569506939206
25170,G,36.0,-0.0950695034042352,-0.09270699325418581,0.0032650654829473394,0.13931647298361324,0.0002728602448265133,-7.4152385542232834e-06,1.3273215295303524e-05,-0.00015126917789831632,0.0,-0.0005509449494411509,0.001429069238600617,2.5909243757752677e-06,0.04885884762991235,2.3599014705468833e-05,-0.03086197957337251
25170,G,42.0,-0.1054201898194559,-0.11768774015053228,0.005245870281017258,0.17448769594551752,0.0003742075067141243,-1.2142938267288442e-05,2.0940963474603857e-05,-0.00020872312298047123,0.0,-0.0008845990842342983,0.002228561755698654,4.78751283117844e-06,0.06321300086281254,4.711012789128121e-05,-0.04111131878135546
25170,G,60.0,-0.07578840612781305,-0.1748992339180474,0.012430401661548882,0.12347295859729814,0.0007133913471582886,-3.0536782078262896e-05,4.640604972348707e-05,-0.0003754704037742901,0.0,-0.0015513512838495236,0.0021922524043307507,1.4609921795369216e-05,0.09691757710960809,0.00019415318149037286,-0.06772492481346049
25170,G,66.0,-0.06809665616604581,-0.18356392907786015,0.014361494279409585,0.11083595850252424,0.0008245201426539619,-3.587906684170736e-05,5.2393624034763396e-05,-0.0004110254811601688,0.0,-0.0016548617925740989,0.00206497234813804,1.7678857918945547e-05,0.10133269466335781,0.00026167910670906326,-0.07266478414921798
25170,G,84.0,-0.04405697486925168,-0.1674865774728033,0.016359065009168196,0.07116149440883314,0.0010313010230563716,-4.332263291855536e-05,5.5053143739329185e-05,-0.0004168919556287073,0.0,-0.0015500839763230398,0.0014872406790282927,2.2705976707087922e-05,0.08625054736787742,0.0004546268994212989,-0.06920886903117598
