batch,state,t,mu0,qN,qXG,qXF,betaG0,betaF0,qEG,qEF,iG
25170,X,348.0,13.054459678981535,-160.81089622935332,0.20162648240473757,0.12154537536268606,-2.5200130287574476,-2.6775077502460296,1.6386367046605417,0.8272759021165355,4.125783729698049
25170,X,354.0,12.97529754758842,-159.84292592219774,0.20910506233651205,0.1272385724155889,-2.583921302674,-2.7501891368680935,1.6915996695370328,0.8720348115023808,4.115076513277044
25170,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25170,N,12.0,-0.14516836739062952,-2.969878031201454,0.0,1.3877787807814457e-14,8.781949906329355e-17,0.0,6.432789179056907e-17,-1.3413906808195641e-16,-3.985533232608058e-15
25170,N,18.0,-0.37771571970063095,-5.232198581685662,2.7755575615628914e-14,1.3877787807814457e-14,1.756389981265871e-16,0.0,0.0,0.0,-5.978299848912088e-15
25170,N,36.0,-0.010372082430122255,-0.06879204434125888,-4.526544070126981e-14,-2.279535067650773e-14,-1.072186891884078e-15,7.058379660491639e-15,7.723116227277892e-15,6.181601149829614e-13,-7.579713568205628e-14
25170,N,42.0,-0.37294296965487256,-0.8680616483329283,-5.773159728050814e-11,-2.1902618607683166e-11,-6.854311901890062e-13,4.013363916610815e-12,3.8632115414826256e-12,1.17190261482131e-11,-5.560067955315279e-11
25170,N,60.0,-2.722730756819599e-05,-2.899622642285446e-05,-3.7576922639042526e-14,-8.64577117174305e-15,-2.513189281455517e-16,1.5980285236636522e-15,1.4645949643955528e-15,4.761653179294815e-15,-2.0267937995617045e-14
25170,N,66.0,-6.58928476036546e-07,-5.785930462761477e-07,-8.244246949061848e-15,-3.721493847682197e-16,-2.554270292306694e-18,6.616133321048985e-17,3.6471566279913574e-17,8.303934125453267e-17,-7.337710031793563e-17
25170,N,84.0,8.998394905813487e-09,5.641673509286806e-08,-6.226828294890449e-15,-1.6105227205922763e-16,2.0413635442598083e-18,2.4751752085264678e-17,6.580583454589277e-18,3.5442225822169857e-10,3.004002508063722e-16
25170,N,108.0,8.998394905813489e-09,5.641673509286806e-08,-6.2268281914928725e-15,-1.610520652640745e-16,2.0413628899535526e-18,2.4751752085264678e-17,6.580583933869419e-18,3.6065881658119546e-10,3.004002805009088e-16
25170,N,114.0,8.998394905813487e-09,5.641673509286806e-08,-6.226828398288026e-15,-1.6105227205922763e-16,2.0413628899535526e-18,2.4751752985063554e-17,6.580583933869419e-18,3.6065903157750864e-10,3.004002656536405e-16
25170,N,138.0,8.998394905813487e-09,5.6416735092868116e-08,-6.226828294890449e-15,-1.6105227205922763e-16,2.0413635442598083e-18,2.4751752985063554e-17,2.291009257097154e-09,3.6065906369802257e-10,3.004002656536405e-16
25170,N,156.0,8.998394905813487e-09,5.6416735092868116e-08,-6.226827777902566e-15,-1.6105123808346194e-16,2.0413628899535526e-18,2.4751752085264678e-17,2.594295462588195e-09,3.6065906207395265e-10,3.004002805009088e-16
25170,N,162.0,8.998394905813487e-09,5.6416735092868116e-08,-6.226828501685602e-15,-1.610520652640745e-16,2.0413635442598083e-18,2.4751752085264678e-17,2.63424513860656e-09,3.6065906369311894e-10,3.004002805009088e-16
25170,N,180.0,8.998394905813487e-09,5.6416735092868156e-08,-6.226828501685602e-15,-1.610520652640745e-16,2.0413628899535526e-18,-4.2921964580984376e-09,2.640306590084676e-09,3.6065906429369653e-10,3.004002656536405e-16
25170,N,186.0,8.998394905813487e-09,5.6416735092868236e-08,-6.226828605083179e-15,-1.610520652640745e-16,2.0413635442598083e-18,-4.2921964580984376e-09,2.6404015173515313e-09,3.6065906429369653e-10,3.004002656536405e-16
25170,N,204.0,-2.300616189835545e-09,5.6416735092868077e-08,-6.226828501685602e-15,-1.6105123808346194e-16,5.302228558042381e-12,-4.956872824066921e-09,2.6404166264446288e-09,3.606590632851002e-10,-8.159253262941932e-08
25170,N,210.0,-2.3006161898355458e-09,5.6416735092868077e-08,-6.226828501685602e-15,-1.610520652640745e-16,5.302228558042299e-12,-4.956872824066921e-09,2.6404166264446288e-09,3.606590627063139e-10,-8.159253262941932e-08
25170,N,234.0,-2.3006161898355458e-09,5.6416735092868236e-08,-6.226828501685602e-15,-1.610520652640745e-16,5.302228558042463e-12,-4.956872824066921e-09,2.6404166264446288e-09,3.60659063409083e-10,-8.159253262941932e-08
25170,N,252.0,-2.3006161898355454e-09,5.6416735092868236e-08,-6.226828501685602e-15,-1.610520652640745e-16,5.302228558042136e-12,-4.956872824066921e-09,2.6404166264446288e-09,3.6065906544176557e-10,-8.159253262941932e-08
25170,N,276.0,-6.660792422058695e-11,5.6416735092868156e-08,-6.226828605083179e-15,-1.610520652640745e-16,2.065930051831705e-13,-4.957108230190489e-09,2.6404166331736153e-09,3.6065906328860125e-10,-8.179544550249116e-08
