batch,state,t,mu0,betaG0,betaF0,Kn0,Kg0,Kf0,Kig0,Kie0,Yxn,Yxg,Yxf,Yeg,Yef,m0
25086,F,24.0,-0.004351517962456523,0.001149404841139389,-0.01007274209971717,0.002238842153107404,-2.8319157632006987e-05,3.8428819651383704e-05,-0.005593625785666526,-0.005162643976105363,-0.0046138655705792175,1.1764873866318272e-05,0.004222441862316409,0.000809348681175453,0.010880028926923078,-2.083372634055456e-06
25086,F,30.0,-0.006284723508362156,0.0016102513483023102,-0.013116757265264024,0.0032497218457390974,-4.042311733285962e-05,5.155107769312716e-05,-0.00714572939391876,-0.006951443095097788,-0.00725967908718584,1.9805130836699948e-05,0.006118109960362896,0.0013720693518480865,0.014258070852515395,-2.8904057803442953e-06
25086,F,48.0,-0.004685204086648068,0.002787933706263131,-0.022740465740321233,0.0023983049671298332,-7.433428965831655e-05,9.733426874566461e-05,-0.011638490895151886,-0.013285912372861699,-0.01594159546874678,5.736829401903858e-05,0.008012241095516777,0.004290982552017245,0.025138917787637625,-5.965054837164386e-06
25086,F,54.0,-0.004364237377679966,0.003006058111304954,-0.02577287221601914,0.0022329040736248583,-8.12836482521295e-05,0.0001131528307110083,-0.012909858210553538,-0.015498150266645352,-0.018048150712265437,7.098991523087047e-05,0.008052124555097719,0.005606129992483088,0.028625549934529787,-7.09628734000819e-06
25086,F,72.0,-0.00409940618148864,0.0030019551162763173,-0.033474034597282265,0.0021013719614795517,-8.096270779290568e-05,0.00015369030711261217,-0.01592428197083984,-0.021795554298839104,-0.023398100810798766,0.00011027153889352257,0.008061498466617668,0.010171696428231219,0.03762727402799006,-1.0488921133807348e-05
25086,F,102.0,-0.004052138511690097,0.0012578154894255505,-0.04703974400233192,0.002079259623668566,1.6076633284861728e-06,0.0002505295105001435,-0.01944439921833585,-0.0344225317256934,-0.033654225668349455,0.00018634498902047564,0.00804667691313784,0.021679088008462064,0.05393126162658966,-1.7425012096198815e-05
25086,F,120.0,-0.004043057130045053,-0.00047630830625271806,-0.05457383012310207,0.0021037561644489384,0.00013120374528165782,0.0003224779097373405,-0.02036736652885144,-0.04231115489983888,-0.039856132323537706,0.00023564107261935294,0.008032187921637913,0.02985498753543757,0.06349899138323913,-2.2149665251118042e-05
25086,F,126.0,-0.004035898581724098,-0.0010164255194560217,-0.05711337561069516,0.0021101309574163,0.00018883753542205535,0.0003526145209861291,-0.020473588170252566,-0.04498010129346274,-0.04196646003377789,0.0002523677286651942,0.008025111150659856,0.03248090972431075,0.0667821741237302,-2.385658807796597e-05
25086,F,144.0,-0.003988318749039232,-0.002276723710272268,-0.06410164506413196,0.002113666545052695,0.00039454205185781427,0.0004522796799819066,-0.020279834028113647,-0.052298539800870555,-0.047705197482656767,0.0002981588322872531,0.007996323588297704,0.03957086890458024,0.0758997082161779,-2.9026719866594668e-05
25086,F,150.0,-0.003946617916115334,-0.0024845736280646835,-0.06631955183448705,0.0021009343491250328,0.0004474951409662994,0.0004938660840646216,-0.020086695467578002,-0.05444371426013763,-0.0493622128516723,0.00031029568771755297,0.007981373582789249,0.04170258838904205,0.07863948693925853,-3.0754877329813965e-05
25086,F,168.0,-0.0037473702648114244,-0.0025280152312286237,-0.07125610014971055,0.0020217659439959127,0.0004761074490036179,0.0006459490444958461,-0.01936280860676049,-0.059388254048613365,-0.05306091547283931,0.00033530762202908755,0.007906027610892666,0.0469882252163793,0.07307876847988588,-3.5541320789387964e-05
25086,F,174.0,-0.0036624348491799555,-0.002356935277605387,-0.06884578467751508,0.001984989751710377,0.0004587739612796058,0.00071492456486522,-0.019059271368407116,-0.05985340316393277,-0.053507005765016644,0.00034134096723031167,0.007856365981440686,0.04772795192607003,0.06713793540099125,-3.698348248639432e-05
25086,F,192.0,-0.003265494000848674,-0.0014147028831049183,-0.0516752341059959,0.0017908202044259276,0.0003750736116820328,0.0010403206922506103,-0.017106200041293405,-0.04507925026178011,-0.03998939482525164,0.00034297732158289807,0.007293282463604795,0.033478387035509045,0.049908492586484915,-3.934734449968287e-05
25086,F,198.0,-0.001876601977829516,-0.0005452603217345023,-0.04222234093984354,0.0009980586180657158,0.00019957115169614732,0.0011441497226894002,-0.010033058590615318,-0.03515440640161359,-0.029955999296651842,0.0002022023862660462,0.0038144986559640083,0.02390803641338159,0.04067991863132538,-2.3888995542172834e-05
25086,F,216.0,-9.579704496604333e-07,-1.1607255380041256e-08,-0.025405026947744856,4.4967869093139176e-07,8.096986719774185e-08,2.0957220674205813e-06,-3.483736138987443e-05,-0.01781587463550897,-0.012332439375854006,9.994812645984168e-08,2.1289117777732245e-06,0.007823923970842726,0.024467338134229726,-1.3127127672618131e-08
25086,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25086,E,12.0,0.002079293504512899,0.006260237530803576,0.001196476706462311,-0.0009267484136113903,-0.00015164057575937413,-4.438146556967287e-06,0.0006794428240407107,0.0038674469370770406,0.0004114472416573581,-6.166981025445707e-07,7.3010393101569e-08,-3.790035257180634e-05,1.4478911433783753e-07,2.687948622348717e-09
25086,E,24.0,0.004136527917000999,0.01197535241212035,0.002349092206202868,-0.002038662426554948,-0.00030656998483238526,-8.988453855225865e-06,0.0013010052257225397,0.008284735954959238,0.0026098443809020153,-2.17853960956248e-06,2.6823283248774075e-07,-0.00015057626195655736,6.141771417152264e-07,1.1624815185031542e-08
25086,E,30.0,0.005161425316193895,0.014850466220519378,0.002978093590378471,-0.002590146056945562,-0.000398308089142404,-1.179076930947093e-05,0.00161347882991968,0.010759279995470687,0.004411380361928954,-3.5477189257491607e-06,4.76440989490213e-07,-0.00024586251928237476,1.1109047884631572e-06,1.980980504546679e-08
25086,E,48.0,0.0058859826183765805,0.022804145294157425,0.004879753715126689,-0.003008475902283233,-0.0007076312901690768,-2.128716484801583e-05,0.002458432194523682,0.01840075403559859,0.011528094705962874,-9.247511755854774e-06,1.5316569824305713e-06,-0.0006859635417961481,4.106510162823907e-06,6.216603727404425e-08
25086,E,54.0,0.0056205771706058704,0.025036950746280925,0.005468638306174958,-0.0028724938554426254,-0.0008157640273031189,-2.4559236593937143e-05,0.0026854327888214046,0.020729345430606238,0.013754854209469735,-1.1004135551315444e-05,1.942706212811114e-06,-0.0008569316370795883,5.649764730318805e-06,8.029896380467755e-08
25086,E,72.0,0.0049406563093694015,0.030390172568104085,0.006938958508415624,-0.0025261369936114253,-0.0011098695120723477,-3.276368111987117e-05,0.0032024467554415776,0.02669486261195622,0.019059269820736552,-1.5415991012312066e-05,3.075512962611523e-06,-0.0013424921061504843,1.1101915938650913e-05,1.3880474870571131e-07
25086,E,102.0,0.004108713920958571,0.037070944138319704,0.009731455817096996,-0.002101852986486134,-0.0018664540181768559,-5.4651167619176415e-05,0.003773659163349696,0.03532068877442418,0.026397914868208843,-1.5115205920833204e-05,6.6625060049443786e-06,0.0004420331999462674,3.6039966254301e-05,1.4148395112526554e-07
