candidate_id,parent_candidate_id,strategy,dose_design,independent_seed,source_type,robust_score,penalized_search_score,median,q10,minimum,tail_cvar,completion_probability,minimum_drying_margin_h,maximum_residual_sugar_g_l,minimum_posterior_fim_eigenvalue,maximum_posterior_fim_condition_number,maximum_internal_jump_c,maximum_initial_jump_c,maximum_initial_or_internal_jump_c,minimum_robust_physical_temperature_c,maximum_robust_physical_temperature_c,total_thermal_variation_c,temperature_changes,nutrition_operational_margin_fraction,coverage_pass,thermal_pass,nutrition_pass,completion_pass,controller_explicit_to_504h,first_24h_mean_contrast_c,nutrition_time_contrast_h,feasible,local_refinement_qualified,local_refinement_qualification_reason,local_refinement_accepted,watermark,candidate_only_not_for_physical_execution
31869e4127c931b3,,III_diagonal_2,N76_historical_anchor,20260803,seed_champion_original,19.685709424308932,19.685709424308932,21.128557676761385,15.357164666951583,10.513086996532827,13.70390469777631,0.984375,33.72863151594413,6.863384198783666,0.1870041701018453,6380.891597759086,5.0,4.4466732227379495,5.0,15.268033933866153,27.0,15.11838232543884,5,1.544658121217609e-16,True,True,True,True,True,5.369639116192353,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
426dc067d6647c28,,III_diagonal_2,N76_historical_anchor,20260817,seed_champion_original,19.740623011259128,19.740623011259128,21.249074597258694,15.21526825326043,9.731749547905945,13.50807954039162,1.0,12.674733345535927,3.9290325396875945,0.18708142659830915,5928.438189385307,4.566866473879443,3.3561524277608896,4.566866473879443,15.0,26.16734424093822,14.75886064502481,5,1.544658121217609e-16,True,True,True,True,True,5.177804761819079,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
d603915b27f07c80,,III_diagonal_2,N76_historical_anchor,20260831,seed_champion_original,19.72358581590962,19.72358581590962,21.171179721749333,15.38080409839048,10.544481005570773,13.735663549700922,0.984375,71.65694999268597,6.8613026154949335,0.1870140365962278,6390.429852039422,5.0,5.0,5.0,15.48840594908393,27.0,11.34274101300117,4,1.544658121217609e-16,True,True,True,True,True,5.310193398028204,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
7c807f8b4d32a761,e1c5af3053217a84,III_diagonal_2,N76_historical_anchor,20260847,full_64_local_refinement_trial,19.80903657810562,19.80903657810562,21.317616924598873,15.28329553862586,10.07704599254318,13.654169580566485,0.984375,55.432588479162845,6.772497629775142,0.1870821838972382,5996.2484963591005,5.0,4.01593661992003,5.0,15.0,27.0,13.625624051636823,4,1.544658121217609e-16,True,True,True,True,True,5.495053378724101,40.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
eae2c695a5cdba99,db9990755c3d6d40,III_diagonal_2,N76_historical_anchor,20260861,full_64_local_refinement_trial,19.71568307479276,19.71568307479276,21.16265592688952,15.374764518502479,10.56304887122488,13.737281033431122,0.984375,70.93647428440907,6.861287136861049,0.18701582176957232,6391.499826144329,5.0,4.837281937987822,5.0,15.458606708067773,27.0,11.791888107375751,4,1.544658121217609e-16,True,True,True,True,True,5.357149262695238,40.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
c58b2e02c7cd4242,,III_diagonal_2,N76_all_conservative,20260803,seed_champion_original,19.682177130972818,19.682177130972818,21.124694794979376,15.354624138953145,10.50898882338922,13.69991413821833,0.984375,33.72863151594413,6.863384198783666,0.18700380261174399,6381.31632943899,5.0,4.4466732227379495,5.0,15.268033933866153,27.0,15.11838232543884,5,0.05000000000000009,True,True,True,True,True,5.369639116192353,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
4814fa24fdcd61f0,,III_diagonal_2,N76_all_conservative,20260817,seed_champion_original,19.736194931685844,19.736194931685844,21.24405075780469,15.2126274533293,9.726281506695319,13.504142692375705,1.0,12.674733345535927,3.9290325396875945,0.18708121749928144,5928.757307186017,4.566866473879443,3.3561524277608896,4.566866473879443,15.0,26.16734424093822,14.75886064502481,5,0.05000000000000009,True,True,True,True,True,5.177804761819079,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
f519513c8cf0dcb2,,III_diagonal_2,N76_all_conservative,20260831,seed_champion_original,19.72008894995553,19.72008894995553,21.167362355474786,15.37826873339776,10.540365971936833,13.731686633803116,0.984375,71.65694999268597,6.8613026154949335,0.1870136677628311,6390.852713493759,5.0,5.0,5.0,15.48840594908393,27.0,11.34274101300117,4,0.05000000000000009,True,True,True,True,True,5.310193398028204,40.0,True,True,no_better_feasible_step_on_real_64_member_objective,,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
8927d705bbf28cb3,54c79cb4848e4079,III_diagonal_2,N76_all_conservative,20260847,full_64_local_refinement_trial,19.77543382978818,19.77543382978818,21.254692176868662,15.337658788546737,10.178802568145823,13.699649492326904,0.984375,67.57910480610646,6.773691528915717,0.1871174166504918,5942.578715528645,5.0,3.796683390384132,5.0,15.0,27.0,12.823772715161276,4,0.05000000000000009,True,True,True,True,True,5.828041682548527,40.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
e72113917e24e755,335a0daae9e36178,III_diagonal_2,N76_all_conservative,20260861,full_64_local_refinement_trial,19.712171851882925,19.712171851882925,21.158820077797063,15.372227174140505,10.558975841524795,13.733309680643515,0.984375,70.93647428440907,6.861287136861049,0.1870154483407191,6391.923752715846,5.0,4.837281937987822,5.0,15.458606708067773,27.0,11.791888107375751,4,0.05000000000000009,True,True,True,True,True,5.357149262695238,40.0,True,True,accepted_improvement_on_real_64_member_objective,True,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
