strategy,dose_design,independent_seed,fidelity,iteration,best_score,watermark,candidate_only_not_for_physical_execution
II_diagonal_1,N76_all_conservative,20260847,four_member,1,-182.86384349727598,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,20260847,four_member,2,-182.83672199806972,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,20260847,four_member,3,-182.83672199806972,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,20260847,eight_member,4,-57.36355502032782,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,20260847,eight_member,5,-57.322831591655515,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,20260861,four_member,0,-182.88719705051074,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,20260861,four_member,1,-182.88299381725085,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,20260861,four_member,2,-182.83097484715688,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,20260861,four_member,3,-182.81792097898014,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,20260861,eight_member,4,-57.58668774314391,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1,N76_all_conservative,20260861,eight_member,5,-57.58668774314391,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260803,four_member,0,-182.7702791098364,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260803,four_member,1,-182.7702791098364,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260803,four_member,2,-182.73352802910296,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260803,four_member,3,-182.71508724939014,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260803,eight_member,4,-57.49407960977557,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260803,eight_member,5,-57.485570734562444,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260817,four_member,0,16.928358085553963,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260817,four_member,1,16.9358102132774,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260817,four_member,2,16.940067267906088,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260817,four_member,3,16.940067267906088,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260817,eight_member,4,17.496095833569193,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260817,eight_member,5,17.52757629186281,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260831,four_member,0,-182.7702791098364,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260831,four_member,1,-182.7702791098364,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260831,four_member,2,-182.73597459108748,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260831,four_member,3,-182.7045874464927,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260831,eight_member,4,-57.47679500473977,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260831,eight_member,5,-57.47403797059968,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260847,four_member,0,-182.7702791098364,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260847,four_member,1,-182.7702791098364,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260847,four_member,2,-182.75297693416636,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260847,four_member,3,-182.7438752636628,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260847,eight_member,4,-57.492746498959235,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260847,eight_member,5,-57.49198214399664,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260861,four_member,0,-182.7702791098364,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260861,four_member,1,-182.76828030603897,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260861,four_member,2,-182.73639091777133,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260861,four_member,3,-182.7184278982627,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260861,eight_member,4,-57.48324555923634,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N80,20260861,eight_member,5,-57.47657838612594,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,20260803,four_member,0,-182.78970695305705,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,20260803,four_member,1,-182.78970695305705,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,20260803,four_member,2,-182.75295168468801,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,20260803,four_member,3,-182.73623358034166,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
III_diagonal_2,N76_historical_anchor,20260803,eight_member,4,-57.51891652405027,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
