policy,species,capture_interval,start_h,end_h,duration_h,capture_stage_1_c,capture_stage_2_c,maximum_capture_interval_h,maximum_capture_interval_policy,within_approved_duration,captured_mass_mean_ug,captured_mass_min_ug,captured_mass_max_ug,cumulative_mass_start_mean_ug,cumulative_mass_end_mean_ug,mass_conservation_max_abs_error_ug,maximum_trap_loading,maximum_trap_loading_policy,trap_loading_constraint_satisfied,vessel_change_required,strategy,dose_design,sampling_mode,watermark,candidate_only_not_for_physical_execution
II_diagonal_1__N80__cold_early,ethyl_octanoate,4,46.0,50.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,0.6797148656133452,0.0404109797957978,11.742923069870344,1.2199860718694233,1.899700937482768,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_octanoate,5,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,3.613577151959359,0.42219564381505736,43.33921154561246,1.899700937482768,5.513278089442127,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_octanoate,6,66.0,74.0,8.0,0.0,-40.0,,unbounded_by_hardware,True,2.1494245533903866,0.6349633680087012,19.839485947956064,5.513278089442127,7.662702642832515,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_octanoate,7,74.0,98.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,6.884298500819998,3.4605528991926082,52.71815352878889,7.662702642832515,14.547001143652514,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_octanoate,8,98.0,162.0,64.0,0.0,-40.0,,unbounded_by_hardware,True,12.276955933956522,5.232871118310067,76.75504633355646,14.547001143652514,26.823957077609034,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,ethyl_octanoate,9,162.0,186.0,24.0,0.0,-40.0,,unbounded_by_hardware,True,1.854260578721819,0.8084303446963457,10.395446902050821,26.823957077609034,28.67821765633085,7.105427357601002e-15,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,isoamyl_acetate,1,0.0,26.0,26.0,0.0,-40.0,,unbounded_by_hardware,True,0.18000916805947126,0.011224400602576418,2.2616790661185604,0.0,0.18000916805947126,1.1368683772161603e-13,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,isoamyl_acetate,2,26.0,42.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,2.953644919930932,0.046265382226764074,43.38393433818449,0.18000916805947126,3.1336540879904033,1.1368683772161603e-13,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,isoamyl_acetate,3,42.0,46.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,2.845704836611374,0.03212143793656218,38.78187010201245,3.1336540879904033,5.979358924601778,1.1368683772161603e-13,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,isoamyl_acetate,4,46.0,50.0,4.0,0.0,-40.0,,unbounded_by_hardware,True,4.15815005717628,0.052181617019440546,42.057486173417345,5.979358924601778,10.137508981778058,1.1368683772161603e-13,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
II_diagonal_1__N80__cold_early,isoamyl_acetate,5,50.0,66.0,16.0,0.0,-40.0,,unbounded_by_hardware,True,25.166000487038726,0.8695984805141317,152.657353212896,10.137508981778058,35.303509468816785,1.1368683772161603e-13,,not_applicable_for_sampling_nozzle,True,False,II_diagonal_1,N80,independent,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
