ensemble_member,policy,drying_time_h,strategy,dose_design,watermark,candidate_only_not_for_physical_execution
32,II_diagonal_1__N76_historical_anchor__warm_late,170.0221715683548,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
33,II_diagonal_1__N76_historical_anchor__anchor,193.32105112404633,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
33,II_diagonal_1__N76_historical_anchor__cold_early,199.2352647102795,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
33,II_diagonal_1__N76_historical_anchor__warm_late,179.25097837037097,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
34,II_diagonal_1__N76_historical_anchor__anchor,186.58474776888207,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
34,II_diagonal_1__N76_historical_anchor__cold_early,193.30244485057824,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
34,II_diagonal_1__N76_historical_anchor__warm_late,171.3208884999375,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
35,II_diagonal_1__N76_historical_anchor__anchor,193.9914805008983,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
35,II_diagonal_1__N76_historical_anchor__cold_early,201.06453962892442,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
35,II_diagonal_1__N76_historical_anchor__warm_late,178.21237055886616,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
36,II_diagonal_1__N76_historical_anchor__anchor,188.652730671668,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
36,II_diagonal_1__N76_historical_anchor__cold_early,196.37911506357153,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
36,II_diagonal_1__N76_historical_anchor__warm_late,171.63499441505948,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
37,II_diagonal_1__N76_historical_anchor__anchor,201.7563070423063,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
37,II_diagonal_1__N76_historical_anchor__cold_early,208.42053497884774,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
37,II_diagonal_1__N76_historical_anchor__warm_late,186.66345980720823,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
38,II_diagonal_1__N76_historical_anchor__anchor,189.3115340102959,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
38,II_diagonal_1__N76_historical_anchor__cold_early,197.07376284099283,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
38,II_diagonal_1__N76_historical_anchor__warm_late,172.25921819108285,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
39,II_diagonal_1__N76_historical_anchor__anchor,193.08554997112896,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
39,II_diagonal_1__N76_historical_anchor__cold_early,200.59067667675012,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
39,II_diagonal_1__N76_historical_anchor__warm_late,176.57742771823902,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
40,II_diagonal_1__N76_historical_anchor__anchor,195.21201039490288,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
40,II_diagonal_1__N76_historical_anchor__cold_early,202.61049087022602,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
40,II_diagonal_1__N76_historical_anchor__warm_late,179.46101985465063,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
41,II_diagonal_1__N76_historical_anchor__anchor,197.73911504220396,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
41,II_diagonal_1__N76_historical_anchor__cold_early,202.87744426516062,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
41,II_diagonal_1__N76_historical_anchor__warm_late,186.15058909363546,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
42,II_diagonal_1__N76_historical_anchor__anchor,186.4840301218015,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
42,II_diagonal_1__N76_historical_anchor__cold_early,192.28147509538812,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
42,II_diagonal_1__N76_historical_anchor__warm_late,173.04496568626163,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
43,II_diagonal_1__N76_historical_anchor__anchor,186.69513507496632,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
43,II_diagonal_1__N76_historical_anchor__cold_early,193.06904606109322,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
43,II_diagonal_1__N76_historical_anchor__warm_late,172.12717560611574,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
44,II_diagonal_1__N76_historical_anchor__anchor,198.32033562722373,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
44,II_diagonal_1__N76_historical_anchor__cold_early,205.21282900694814,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
44,II_diagonal_1__N76_historical_anchor__warm_late,183.94469541046024,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
45,II_diagonal_1__N76_historical_anchor__anchor,180.43467784163326,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
45,II_diagonal_1__N76_historical_anchor__cold_early,185.75066882794738,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
45,II_diagonal_1__N76_historical_anchor__warm_late,167.6804174714962,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
46,II_diagonal_1__N76_historical_anchor__anchor,198.16267385060618,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
46,II_diagonal_1__N76_historical_anchor__cold_early,204.99101869771326,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
46,II_diagonal_1__N76_historical_anchor__warm_late,182.5211075030945,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
47,II_diagonal_1__N76_historical_anchor__anchor,195.9837585325705,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
47,II_diagonal_1__N76_historical_anchor__cold_early,203.0916621428519,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
47,II_diagonal_1__N76_historical_anchor__warm_late,180.29701820592626,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
48,II_diagonal_1__N76_historical_anchor__anchor,184.65434371558632,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
48,II_diagonal_1__N76_historical_anchor__cold_early,190.6184685578532,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
48,II_diagonal_1__N76_historical_anchor__warm_late,170.7360346848847,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
49,II_diagonal_1__N76_historical_anchor__anchor,194.45629544178828,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
49,II_diagonal_1__N76_historical_anchor__cold_early,201.0935859015793,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
49,II_diagonal_1__N76_historical_anchor__warm_late,179.57252603074005,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
50,II_diagonal_1__N76_historical_anchor__anchor,202.2218108011046,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
50,II_diagonal_1__N76_historical_anchor__cold_early,209.13624847583887,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
50,II_diagonal_1__N76_historical_anchor__warm_late,186.6596094666422,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
51,II_diagonal_1__N76_historical_anchor__anchor,202.99074428884074,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
51,II_diagonal_1__N76_historical_anchor__cold_early,210.25135723345704,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
51,II_diagonal_1__N76_historical_anchor__warm_late,187.3448071157919,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
52,II_diagonal_1__N76_historical_anchor__anchor,194.8924531032,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
52,II_diagonal_1__N76_historical_anchor__cold_early,201.55127030526253,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
52,II_diagonal_1__N76_historical_anchor__warm_late,180.17524095241924,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
53,II_diagonal_1__N76_historical_anchor__anchor,190.5503764769422,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
53,II_diagonal_1__N76_historical_anchor__cold_early,197.17320508639423,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
53,II_diagonal_1__N76_historical_anchor__warm_late,175.68422676454892,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
54,II_diagonal_1__N76_historical_anchor__anchor,202.9757124913776,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
54,II_diagonal_1__N76_historical_anchor__cold_early,209.47681310393006,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
54,II_diagonal_1__N76_historical_anchor__warm_late,188.77491989114662,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
55,II_diagonal_1__N76_historical_anchor__anchor,186.61606560448902,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
55,II_diagonal_1__N76_historical_anchor__cold_early,192.74726268148552,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
55,II_diagonal_1__N76_historical_anchor__warm_late,172.37991967110503,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
56,II_diagonal_1__N76_historical_anchor__anchor,206.65149599318565,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
56,II_diagonal_1__N76_historical_anchor__cold_early,214.07421323187276,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
56,II_diagonal_1__N76_historical_anchor__warm_late,190.3710156879033,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
57,II_diagonal_1__N76_historical_anchor__anchor,203.01916929267392,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
57,II_diagonal_1__N76_historical_anchor__cold_early,210.12190663247833,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
57,II_diagonal_1__N76_historical_anchor__warm_late,188.05380127828582,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
58,II_diagonal_1__N76_historical_anchor__anchor,179.6006868250601,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
58,II_diagonal_1__N76_historical_anchor__cold_early,185.6238678317475,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
58,II_diagonal_1__N76_historical_anchor__warm_late,165.28796433635168,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
59,II_diagonal_1__N76_historical_anchor__anchor,196.43474900100225,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
59,II_diagonal_1__N76_historical_anchor__cold_early,203.17732771923477,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
59,II_diagonal_1__N76_historical_anchor__warm_late,182.0245479532908,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
60,II_diagonal_1__N76_historical_anchor__anchor,185.6847840320857,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
60,II_diagonal_1__N76_historical_anchor__cold_early,192.04220416113807,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
60,II_diagonal_1__N76_historical_anchor__warm_late,171.08364376588193,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
61,II_diagonal_1__N76_historical_anchor__anchor,194.89400486400254,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
61,II_diagonal_1__N76_historical_anchor__cold_early,202.08335939866086,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
61,II_diagonal_1__N76_historical_anchor__warm_late,179.15845790162794,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
62,II_diagonal_1__N76_historical_anchor__anchor,197.96232090616192,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
62,II_diagonal_1__N76_historical_anchor__cold_early,204.7175792679208,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
62,II_diagonal_1__N76_historical_anchor__warm_late,183.5195008710271,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
63,II_diagonal_1__N76_historical_anchor__anchor,200.4473986377255,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
63,II_diagonal_1__N76_historical_anchor__cold_early,206.8327432779755,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
63,II_diagonal_1__N76_historical_anchor__warm_late,185.83322459521756,II_diagonal_1,N76_historical_anchor,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
0,II_diagonal_1__N76_all_conservative__anchor,192.55903928242043,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
0,II_diagonal_1__N76_all_conservative__cold_early,196.46373144992162,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
0,II_diagonal_1__N76_all_conservative__warm_late,178.15014791910303,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
1,II_diagonal_1__N76_all_conservative__anchor,189.03100964242597,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
1,II_diagonal_1__N76_all_conservative__cold_early,193.98490094220796,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
1,II_diagonal_1__N76_all_conservative__warm_late,172.52171413856632,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
2,II_diagonal_1__N76_all_conservative__anchor,205.22038681060374,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
2,II_diagonal_1__N76_all_conservative__cold_early,209.88669449765544,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
2,II_diagonal_1__N76_all_conservative__warm_late,188.5391790491629,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
3,II_diagonal_1__N76_all_conservative__anchor,198.91721012021836,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
3,II_diagonal_1__N76_all_conservative__cold_early,204.55869668922708,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
3,II_diagonal_1__N76_all_conservative__warm_late,181.17393076657837,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
4,II_diagonal_1__N76_all_conservative__anchor,192.42854491371537,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
4,II_diagonal_1__N76_all_conservative__cold_early,198.20826965891254,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
4,II_diagonal_1__N76_all_conservative__warm_late,174.2202913193406,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
5,II_diagonal_1__N76_all_conservative__anchor,204.04523683322634,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
5,II_diagonal_1__N76_all_conservative__cold_early,209.85982842551752,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
5,II_diagonal_1__N76_all_conservative__warm_late,186.40699246598865,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
6,II_diagonal_1__N76_all_conservative__anchor,191.80049685206185,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
6,II_diagonal_1__N76_all_conservative__cold_early,190.71964086733334,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
6,II_diagonal_1__N76_all_conservative__warm_late,188.5447845835107,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
7,II_diagonal_1__N76_all_conservative__anchor,434.03481974228623,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
7,II_diagonal_1__N76_all_conservative__cold_early,425.8431838331674,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
7,II_diagonal_1__N76_all_conservative__warm_late,446.5339958657617,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
8,II_diagonal_1__N76_all_conservative__anchor,203.18511919689337,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
8,II_diagonal_1__N76_all_conservative__cold_early,213.91168886486972,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
8,II_diagonal_1__N76_all_conservative__warm_late,175.52248818138906,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
9,II_diagonal_1__N76_all_conservative__anchor,154.45552802484113,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
9,II_diagonal_1__N76_all_conservative__cold_early,165.7553276787605,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
9,II_diagonal_1__N76_all_conservative__warm_late,123.03371597703901,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
10,II_diagonal_1__N76_all_conservative__anchor,202.0856690419403,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
10,II_diagonal_1__N76_all_conservative__cold_early,207.48447792922624,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
10,II_diagonal_1__N76_all_conservative__warm_late,184.0367781764277,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
11,II_diagonal_1__N76_all_conservative__anchor,193.12369355963122,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
11,II_diagonal_1__N76_all_conservative__cold_early,198.34432716105653,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
11,II_diagonal_1__N76_all_conservative__warm_late,176.14729611801857,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
12,II_diagonal_1__N76_all_conservative__anchor,202.2816482878695,II_diagonal_1,N76_all_conservative,COMPUTATIONAL COVERAGE CANDIDATE — NOT AUTHORIZED FOR PHYSICAL EXECUTION,True
