process_token,campaign_token,time_h,temperature_c,density_kg_m3,viable_cell_concentration_million_cells_ml,viable_biomass_proxy_g_l_30pg_cell,dry_weight_g_l,glucose_g_l,fructose_g_l,pan_n_mg_l,ammonia_compound_mg_l,ammonia_n_mg_l,yan_reported_n_mg_l,yan_reconstructed_n_mg_l,yan_closure_residual_mg_l,glycerol_g_l,pyruvic_acid_mg_l,pyruvic_acid_2_mg_l,acetaldehyde_mg_l,ethanol_g_l
P25_07,C25_04,216,16.0,1009.0,,,,,,,,,,,,,,,,
P25_07,C25_04,222,16.0,1008.0,,,,,,,,,,,,,,,,
P25_07,C25_04,228,15.2,1007.0,,,,,,,,,,,,,,,,
P25_07,C25_04,234,15.8,1005.0,,,0.2581,3.93,20.65,24.0,1.0,0.82,24.82,24.82,0.0,6.59,30.0,,216.0,78.35251996370964
P25_07,C25_04,240,16.0,1005.0,,,,,,,,,,,,,,,,
P25_07,C25_04,246,15.5,1005.0,,,,,,,,,,,,,,,,
P25_07,C25_04,252,14.0,1004.0,41.01,1.2303,0.2378,1.79,19.76,24.0,3.0,2.46,26.46,26.46,0.0,6.43,39.0,,200.0,79.9685866803514
P25_07,C25_04,258,14.9,1003.0,,,,,,,,,,,,,,,,
P25_07,C25_04,264,15.5,1002.0,,,,,,,,,,,,,,,,
P25_07,C25_04,270,15.0,1002.0,,,,,,,,,,,,,,,,
P25_07,C25_04,276,15.4,1002.0,,,0.2833,2.48,13.26,34.0,1.0,0.82,34.82,34.82,0.0,6.66,27.0,,212.0,85.380229000237
P25_07,C25_04,282,16.0,1001.0,,,,,,,,,,,,,,,,
P25_07,C25_04,288,16.0,1000.0,,,,,,,,,,,,,,,,
P25_07,C25_04,294,15.3,1000.0,,,,,,,,,,,,,,,,
P25_07,C25_04,300,14.5,999.0,,,0.2845,0.33,8.94,34.0,0.0,0.0,34.0,34.0,0.0,6.72,24.0,,211.0,88.78196339350193
P25_07,C25_04,306,15.0,998.0,,,,,,,,,,,,,,,,
P25_07,C25_04,312,15.0,998.0,,,,,,,,,,,,,,,,
P25_07,C25_04,318,14.8,998.0,,,,,,,,,,,,,,,,
P25_07,C25_04,324,15.0,998.0,33.64,1.0091999999999999,0.1794,0.19,6.49,24.0,0.0,0.0,24.0,24.0,0.0,6.63,20.0,,216.0,88.78196339350193
P25_07,C25_04,330,16.0,996.0,31.56,0.9468,0.1816,0.0,6.22,14.0,0.0,0.0,14.0,14.0,0.0,6.99,24.0,,214.0,91.78795678054856
P25_07,C25_04,336,15.8,997.0,,,,,,,,,,,,,,,,
P25_07,C25_04,342,15.0,997.0,,,,,,,,,,,,,,,,
P25_07,C25_04,348,14.5,996.0,36.02,1.0806,0.1706,0.0,4.22,,,,,,,6.63,27.0,,219.0,90.96697915561843
P25_07,C25_04,354,16.0,996.0,31.41,0.9422999999999999,0.1661,0.0,3.77,,,,,,,6.72,21.0,,220.0,92.74686729411084
P25_07,C25_04,360,15.5,996.0,,,,,,,,,,,,,,,,
P25_07,C25_04,366,15.7,995.0,,,,,,,,,,,,,,,,
P25_07,C25_04,372,15.0,995.0,30.57,0.9171,0.16168,0.07,8.9,27.0,4.0,3.28,30.28,30.28,0.0,6.84,22.0,,222.0,95.39009999999999
