workflow,source_file,fit,n_batches,mediums,parameters,n_parameters,success,status,message,nfev,initial_wsse,final_wsse,n_residuals,dof,wsse_per_residual,wsse_per_dof,l2_lambda,l2_parameters,fit_label,n_parameters_fit
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,32.0,18.622732974152576,4.213337851128433,9,,0.4681486501253814,,,,batch_v2_all_o2free_synthetic_MS008,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,22.0,81.10850468808725,21.66243937035509,9,,2.406937707817233,,,,batch_v2_reduced_o2fixed_synthetic_MS009,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,62.0,81.10850468808725,5.411407290730648,9,,0.6012674767478497,,,,batch_v2_all_o2free_synthetic_MS009,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,79.0,41.00917492693211,15.400091133605708,9,,1.7111212370673008,,,,batch_v2_reduced_o2fixed_synthetic_MS010,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,28.0,41.00917492693211,10.882264806276636,9,,1.2091405340307373,,,,batch_v2_all_o2free_synthetic_MS010,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,18.0,114.14134601898778,16.68729207708548,9,,1.854143564120609,,,,batch_v2_reduced_o2fixed_synthetic_MS011,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,29.0,114.1413460189878,10.405019662152982,9,,1.1561132957947755,,,,batch_v2_all_o2free_synthetic_MS011,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,17.0,96.3181591283426,11.095238388674105,9,,1.2328042654082338,,,,batch_v2_reduced_o2fixed_synthetic_MS012,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,15.0,96.3181591283426,10.452653291802775,9,,1.1614059213114196,,,,batch_v2_all_o2free_synthetic_MS012,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,False,0.0,The maximum number of function evaluations is exceeded.,80.0,39.127885233973295,5.94223557625448,8,,0.74277944703181,,,,batch_v2_reduced_o2fixed_synthetic_MS013,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,13.0,39.127885233973295,2.890397288899119,8,,0.3612996611123898,,,,batch_v2_all_o2free_synthetic_MS013,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,72.0,46.95887962141124,13.890313168150438,8,,1.7362891460188048,,,,batch_v2_reduced_o2fixed_synthetic_MS014,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,30.0,46.95887962141124,2.7081020041559563,8,,0.3385127505194945,,,,batch_v2_all_o2free_synthetic_MS014,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,13.0,30.556456046108323,12.195885221568414,8,,1.5244856526960515,,,,batch_v2_reduced_o2fixed_synthetic_MS015,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,22.0,30.556456046108323,6.992832557265073,8,,0.8741040696581341,,,,batch_v2_all_o2free_synthetic_MS015,10.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,True,2.0,`ftol` termination condition is satisfied.,67.0,113.45877836948848,25.958015326369804,8,,3.244751915796225,,,,batch_v2_reduced_o2fixed_synthetic_MS016,7.0
secondary_fit_capacity,fermentation_model/results/secondary_fit_capacity/fit_capacity_summary.csv,,1,,,,False,0.0,The maximum number of function evaluations is exceeded.,80.0,113.45877836948848,1.2842234056327375,8,,0.1605279257040922,,,,batch_v2_all_o2free_synthetic_MS016,10.0
