medium,batch,time_h,YAN_mg_l,PAN_mg_l,NH4_mg_l,YAN_from_components_mg_l,YAN_component_residual_mg_l
synthetic,MS012,166.0,100.0,68.0,40.0,108.0,-8.0
synthetic,MS012,191.0,95.0,66.0,35.0,101.0,-6.0
synthetic,MS012,213.5,,,,,
synthetic,MS013,0.0,218.0,14.0,249.0,263.0,-45.0
synthetic,MS013,22.0,263.0,61.0,246.0,307.0,-44.0
synthetic,MS013,45.0,162.0,24.0,168.0,192.0,-30.0
synthetic,MS013,69.0,36.0,13.0,29.0,42.0,-6.0
synthetic,MS013,72.0,,,,,
synthetic,MS013,93.5,118.0,68.0,61.0,129.0,-11.0
synthetic,MS013,165.5,92.0,73.0,24.0,97.0,-5.0
synthetic,MS013,191.5,86.0,65.0,26.0,91.0,-5.0
synthetic,MS013,213.0,90.0,66.0,29.0,95.0,-5.0
synthetic,MS014,0.0,226.0,15.0,257.0,272.0,-46.0
synthetic,MS014,22.0,275.0,65.0,256.0,321.0,-46.0
synthetic,MS014,45.0,175.0,26.0,182.0,208.0,-33.0
synthetic,MS014,69.0,73.0,21.0,63.0,84.0,-11.0
synthetic,MS014,72.0,,,,,
synthetic,MS014,93.5,132.0,75.0,70.0,145.0,-13.0
synthetic,MS014,165.5,102.0,73.0,35.0,108.0,-6.0
synthetic,MS014,191.5,101.0,69.0,39.0,108.0,-7.0
synthetic,MS014,213.0,98.0,67.0,38.0,105.0,-7.0
synthetic,MS015,0.0,220.0,13.0,252.0,265.0,-45.0
synthetic,MS015,22.0,286.0,76.0,255.0,331.0,-45.0
synthetic,MS015,45.0,249.0,50.0,243.0,293.0,-44.0
synthetic,MS015,69.0,191.0,29.0,198.0,227.0,-36.0
synthetic,MS015,72.0,,,,,
synthetic,MS015,93.5,232.0,61.0,208.0,269.0,-37.0
synthetic,MS015,165.5,126.0,49.0,93.0,142.0,-16.0
synthetic,MS015,191.5,118.0,49.0,83.0,132.0,-14.0
synthetic,MS015,213.0,111.0,44.0,82.0,126.0,-15.0
synthetic,MS016,0.0,214.0,18.0,240.0,258.0,-44.0
synthetic,MS016,17.0,252.0,49.0,247.0,296.0,-44.0
synthetic,MS016,40.0,77.0,17.0,74.0,91.0,-14.0
synthetic,MS016,64.0,26.0,17.0,11.0,28.0,-2.0
synthetic,MS016,72.0,,,,,
synthetic,MS016,88.5,130.0,75.0,68.0,143.0,-13.0
synthetic,MS016,160.5,123.0,72.0,62.0,134.0,-11.0
synthetic,MS016,186.5,137.0,81.0,68.0,149.0,-12.0
synthetic,MS016,208.0,129.0,77.0,63.0,140.0,-11.0
