batch,timestamp,flow_filt_sccm,is_spike,n_raw_rows,t_h,flow_filt_sccm_physical,co2_offgas_equivalent_g_l_h,co2_observed_increment_g_l,co2_cumulative_observed_lower_bound_g_l,co2_segment,t0,reactor_volume_l
LAB006,2026-04-10 06:30:00,6.7927,0.0,59,89.5,6.7927,0.4001250026768983,0.06689808635228171,17.667270265514844,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 06:40:00,6.756550000000001,0.0,58,89.66666666666667,6.756550000000001,0.3979955815561702,0.06651004868609094,17.733780314200935,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 06:50:00,6.76365,0.0,58,89.83333333333333,6.76365,0.3984138081110021,0.06636744913892724,17.80014776333986,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 07:00:00,6.803599999999999,0.0,58,90.0,6.803599999999999,0.40076706879628793,0.06659840640894273,17.866746169748804,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 07:10:00,6.7942,0.0,59,90.16666666666667,6.7942,0.4002133603997501,0.06674836909967173,17.933494538848475,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 07:20:00,6.7356,0.0,58,90.33333333333333,6.7356,0.3967615186936735,0.06641457325778152,17.999909112106256,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 07:30:00,6.69945,0.0,58,90.5,6.69945,0.3946320975729454,0.06594946802222011,18.065858580128477,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 07:40:00,6.7182,0.0,59,90.66666666666667,6.7182,0.39573656910859284,0.06586405555679672,18.131722635685275,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 07:50:00,6.7669,0.0,58,90.83333333333333,6.7669,0.39860524984384754,0.06619515157936627,18.19791778726464,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 08:00:00,6.76435,0.0,58,91.0,6.76435,0.39845504171499946,0.06642169096323913,18.26433947822788,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 08:10:00,6.7311,0.0,58,91.16666666666667,6.7311,0.3964964455251182,0.06624595727001169,18.33058543549789,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 08:20:00,6.7233,0.0,59,91.33333333333333,6.7233,0.39603698536628895,0.06604445257428017,18.396629888072173,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 08:30:00,6.7642,0.0,55,91.5,6.7642,0.3984462059427143,0.06620693260908549,18.462836820681257,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 08:40:00,6.8324,0.0,58,91.66666666666667,6.8324,0.4024635370750423,0.06674247858481494,18.52957929926607,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 08:50:00,6.87905,0.0,58,91.83333333333333,6.87905,0.40521146225573296,0.06730624994422744,18.5968855492103,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 09:00:00,6.9356,0.0,59,92.0,6.9356,0.4085425484072454,0.06781283422191679,18.664698383432217,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 09:10:00,7.058,0.0,58,92.16666666666667,7.058,0.41575253859195144,0.06869125724993502,18.73338964068215,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 09:20:00,7.2036999999999995,0.0,58,92.33333333333333,7.2036999999999995,0.4243350187382885,0.07000729644418269,18.803396937126333,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 09:30:00,7.27905,0.0,58,92.5,7.27905,0.42877352168287675,0.07109237836843246,18.874489315494767,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 09:40:00,7.3106,0.0,59,92.66666666666667,7.3106,0.4306319791201927,0.07161712506692448,18.946106440561692,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 09:50:00,7.3715,0.0,58,92.83333333333333,7.3715,0.4342193026679753,0.0720709401490099,19.018177380710704,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 10:00:00,7.46355,0.0,58,93.0,7.46355,0.4396415215936467,0.07282173535513724,19.09099911606584,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 10:10:00,7.49925,0.0,58,93.16666666666667,7.49925,0.44174443539751934,0.07344882974926592,19.16444794581511,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 10:20:00,7.4823,0.0,59,93.33333333333333,7.4823,0.4407459931292942,0.07354086904389695,19.237988814859005,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 10:30:00,7.464600000000001,0.0,58,93.5,7.464600000000001,0.4397033719996431,0.07337078042741353,19.31135959528642,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 10:40:00,7.4211,0.0,58,93.66666666666667,7.4211,0.4371409980369411,0.07307036416971743,19.384429959456135,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 10:50:00,7.3319,0.0,58,93.83333333333333,7.3319,0.431886658784688,0.0724189714017983,19.456848930857934,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 11:00:00,7.2665,0.0,59,94.0,7.2665,0.42803426206835005,0.07166007673775521,19.528509007595687,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 11:10:00,7.27505,0.0,58,94.16666666666667,7.27505,0.4285379010886053,0.07138101359641498,19.599890021192103,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 11:20:00,7.28525,0.0,58,94.33333333333333,7.28525,0.42913873360399746,0.07147305289104618,19.67136307408315,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 11:30:00,7.27685,0.0,58,94.5,7.27685,0.42864393035602744,0.07148188866333743,19.74284496274649,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 11:40:00,7.2794,0.0,59,94.66666666666667,7.2794,0.42879413848487546,0.0714531724034106,19.814298135149897,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 11:50:00,7.2468,0.0,58,94.83333333333333,7.2468,0.42687383064156326,0.07130566409386584,19.885603799243764,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 12:00:00,7.11415,0.0,58,95.0,7.11415,0.4190600626840367,0.07049449111046867,19.956098290354234,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 12:10:00,6.9478,0.0,58,95.16666666666667,6.9478,0.40926119121977333,0.0690267711586528,20.025125061512888,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 12:20:00,6.8037,0.0,59,95.33333333333333,6.8037,0.4007729593111447,0.06750284587757267,20.09262790739046,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 12:30:00,6.64055,0.0,58,95.5,6.64055,0.39116258432229845,0.06599462863612214,20.158622536026584,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 12:40:00,6.4876000000000005,0.0,58,95.66666666666667,6.4876000000000005,0.38215304184884447,0.06444296884759708,20.22306550487418,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 12:50:00,6.414,0.0,58,95.83333333333333,6.414,0.3778176229142499,0.06333088873025426,20.286396393604434,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 13:00:00,6.3926,0.0,58,96.0,6.3926,0.3765570527348978,0.06286455630409743,20.349260949908533,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 13:10:00,6.3816,0.0,59,96.16666666666667,6.3816,0.37590909610065126,0.06270551240296421,20.411966462311497,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 13:20:00,6.4326,0.0,58,96.33333333333333,6.4326,0.37891325867761216,0.06290186289818504,20.474868325209684,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 13:30:00,6.52515,0.0,58,96.5,6.52515,0.38436493017756757,0.06360651573793345,20.538474840947618,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 13:40:00,6.60075,0.0,58,96.66666666666667,6.60075,0.38881815940929765,0.0644319241322406,20.602906765079858,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 13:50:00,6.6618,0.0,59,96.83333333333333,6.6618,0.39241431872936555,0.06510270651155158,20.66800947159141,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 14:00:00,6.65355,0.0,58,97.0,6.65355,0.3919283512536807,0.06536188916525572,20.733371360756667,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 14:10:00,6.57045,0.0,58,97.16666666666667,6.57045,0.38703333340769164,0.06491347372178287,20.79828483447845,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 14:20:00,6.4839,0.0,59,97.33333333333333,6.4839,0.3819350927991433,0.06408070218389927,20.862365536662352,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 14:30:00,6.40905,0.0,58,97.5,6.40905,0.3775260424288391,0.063288427935667,20.92565396459802,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 14:40:00,6.307449999999999,0.0,58,97.66666666666667,6.307449999999999,0.3715412793343445,0.06242227681360041,20.98807624141162,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 14:50:00,6.21005,0.0,58,97.83333333333333,6.21005,0.3658039178638351,0.06144543309984481,21.049521674511464,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 15:00:00,6.13605,0.0,58,98.0,6.13605,0.3614449368698135,0.06060407122780578,21.11012574573927,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 15:10:00,6.0649,0.0,59,98.16666666666667,6.0649,0.35725383554921025,0.05989156436825368,21.170017310107525,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 15:20:00,6.04425,0.0,58,98.33333333333333,6.04425,0.3560374442312839,0.05944093998170447,21.22945825008923,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 15:30:00,6.1030999999999995,0.0,58,98.5,6.1030999999999995,0.35950401222450246,0.05962845470465056,21.28908670479388,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 15:40:00,6.2200500000000005,0.0,58,98.66666666666667,6.2200500000000005,0.36639296934951365,0.060491415131169735,21.349578119925052,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 15:50:00,6.7351,0.0,59,98.83333333333333,6.7351,0.39673206611938966,0.06359375295573833,21.413171872880792,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 16:00:00,7.3299,0.0,58,99.0,7.3299,0.4317688484875524,0.0690417428839138,21.482213615764707,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 16:10:00,7.48575,0.0,58,99.16666666666667,7.48575,0.44094921589185326,0.07272650536495254,21.554940121129658,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 16:20:00,7.1343499999999995,0.0,58,99.33333333333333,7.1343499999999995,0.42024994668510746,0.07176659688140931,21.626706718011068,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 16:30:00,6.3882,0.0,59,99.5,6.3882,0.3762978700811992,0.06637898473052745,21.693085702741595,2,2026-04-06 13:00:00,2.0
LAB006,2026-04-10 16:40:00,5.4841999999999995,0.0,58,99.66666666666667,5.4841999999999995,0.3230476157758543,0.05827879048808945,21.751364493229683,2,2026-04-06 13:00:00,2.0
