activity,category,evidence_requirement,role_in_bundle,status,source_path,bundle_path,bytes,sha256
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_campaign_inputs_combined_stress_long_horizon.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_inputs_combined_stress_long_horizon.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_campaign_inputs_combined_stre__314b2647.png,83347,35f63e928ba17fc3d49a39182b2d106c46986dab83381cc75d24929b0459b083
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_campaign_inputs_ethanol_initial_challenge.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_inputs_ethanol_initial_challenge.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_campaign_inputs_ethanol_initi__4351e74a.png,87555,c2768105fe35753e158fb37504a8ba2400fecf990a2f986dbfe94dacae64c7c0
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_campaign_inputs_fructose_rich_iG_probe.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_inputs_fructose_rich_iG_probe.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_campaign_inputs_fructose_rich_iG_probe.png,87183,7517ce0494194e5020b7bd75f0b55449c0c631883c935f0f75fee536450a1373
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_campaign_inputs_glucose_pulse_after_N_depletion.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_inputs_glucose_pulse_after_N_depletion.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_campaign_inputs_glucose_pulse__b76c1c29.png,92446,5627b270b90a1196cefdfd9e1bb33d1204612c6d8a1180621dfe2b5770a23ee3
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_campaign_inputs_glucose_rich_growth_yield.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_inputs_glucose_rich_growth_yield.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_campaign_inputs_glucose_rich___10eb30ba.png,98174,24c02fa5fa71f01fe8ff195265f55e922593c78dd1163a876be055d9f372b1c4
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_campaign_inputs_high_biomass_low_N_maintenance.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_inputs_high_biomass_low_N_maintenance.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_campaign_inputs_high_biomass___42af55ed.png,97615,ec716e27467da9204e8872a54098c9d2b8005444b2eb0acbabf754edabbfa401
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_campaign_inputs_low_temp_growth_separation_plus_co2.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_inputs_low_temp_growth_separation_plus_co2.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_campaign_inputs_low_temp_grow__aa2df8ad.png,94623,42bff48e017f8af43566af492683117dcc60e3a162c25110fb38eb548e69e54e
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_campaign_inputs_yan_saturation_scan.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_campaign_inputs_yan_saturation_scan.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_campaign_inputs_yan_saturation_scan.png,93926,7dfbe8217d24d8e615bb0b6302563cb5d59f20b2d6d4a4769fa82fa544bca942
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_eigen_spectrum.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_eigen_spectrum.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_eigen_spectrum.png,69021,f6b4cea5672a92918d40240ab5bb20b5a754a6d85ffb936e2b7f6084aac79e8c
OE2-2.13,figuras,Analisis de sensibilidad y diseno,Figura campana conjunta aromas: aroma_weak_eigendirection_loadings.png,ok,fermentation_model/results/aroma_joint_campaign_doe/aroma_weak_eigendirection_loadings.png,rendicion_tecnica/A02_balance_masa_perdidas_aromaticas/figures/aroma_joint__aroma_weak_eigendirection_loadings.png,92149,9b4f5c3211607c72b7a8692fcf4dbbd389d35a422499ab96ef9c0d2b51ac314f
