species,start_index,success,nfev,initial_objective,final_objective,estimate__formation_growth_ug_per_g_sugar,estimate__formation_stationary_ug_per_g_sugar,estimate__effective_loss_scale,forcing_source,fit_scope,estimate__mass_transfer_kla_ref_h_inv,estimate__ethanol_kla_multiplier_per_10_g_l
ethyl_octanoate,3,True,29,687.321214049136,237.08877400069295,0.04246060091670208,0.5691069669698385,,dynamic_transfer_model,calibration_only,0.0043412888353945205,0.7699165559979454
ethyl_octanoate,5,True,52,291220972137.2501,237.08937962618282,0.04508319880070081,0.5685019320425745,,dynamic_transfer_model,calibration_only,0.0043307370890839515,0.7691226952427778
ethyl_octanoate,2,True,37,17429604702.606716,237.0895143812219,0.04525263512935225,0.5684074759595166,,dynamic_transfer_model,calibration_only,0.004339355251068633,0.7692477509619956
isoamyl_acetate,3,True,24,690.8168289085222,222.6626160332807,0.19033270112616169,6.9044397542563285,,dynamic_transfer_model,calibration_only,0.002903544632846821,0.8707105048635799
isoamyl_acetate,4,True,22,500.0413030031276,222.66262281472984,0.19005869762542646,6.9034435164059635,,dynamic_transfer_model,calibration_only,0.0029111650672466807,0.8705436193689055
isoamyl_acetate,7,True,44,666.7615653934063,222.6627462675521,0.19038071098710663,6.903070919388311,,dynamic_transfer_model,calibration_only,0.0029206147309337694,0.8693726169038909
isoamyl_acetate,6,True,39,750902670.9027646,222.6628207959415,0.19086526303827145,6.904138401203958,,dynamic_transfer_model,calibration_only,0.002915078333951855,0.8689136730056853
isoamyl_acetate,0,True,26,523756.128228058,222.6628453699965,0.18980377996615114,6.90351109489145,,dynamic_transfer_model,calibration_only,0.0029109615062859247,0.8711662246307017
isoamyl_acetate,1,True,29,449.39397751467925,222.66289644746698,0.19546775875850994,6.902270310526181,,dynamic_transfer_model,calibration_only,0.002909114959415893,0.8703556240571533
isoamyl_acetate,2,True,41,195374577.18709135,222.66321041671466,0.18664209175173646,6.9056901782514295,,dynamic_transfer_model,calibration_only,0.0028948214326135085,0.8716664931889043
isoamyl_acetate,5,True,57,3289121301.964281,222.66997518972798,0.17186396698048964,6.908689861308467,,dynamic_transfer_model,calibration_only,0.002931864130647806,0.86753443187189
ethyl_acetate,9,True,26,216.9025486928835,75.3027262839102,41.770107662673894,72.70254708976329,,dynamic_transfer_model,all_data,0.004263532855528216,0.8990997257192225
ethyl_acetate,10,True,31,767.023639204672,75.30272638316148,41.770193413435706,72.70251625495727,,dynamic_transfer_model,all_data,0.004263596772514605,0.8990579092764358
ethyl_acetate,5,True,27,151.2172972073395,75.3027271619252,41.76332920916065,72.70404899237192,,dynamic_transfer_model,all_data,0.004262463983301648,0.899292185502258
ethyl_acetate,8,True,31,1067.3149383688467,75.30272724601198,41.77720039136219,72.70099088563306,,dynamic_transfer_model,all_data,0.004262846630871079,0.8993094776685351
ethyl_acetate,0,True,26,318693.13209653395,75.30272832033909,41.766833073874665,72.70329850609909,,dynamic_transfer_model,all_data,0.004266272325173396,0.899106142431849
ethyl_acetate,11,True,27,3284.3678674779885,75.30272834655591,41.7612173821352,72.70545798668432,,dynamic_transfer_model,all_data,0.00426121370075518,0.8988846490409419
ethyl_acetate,6,True,28,35799.55593063393,75.30272936549497,41.774845469674545,72.70173800651584,,dynamic_transfer_model,all_data,0.004262788449179197,0.8987821651942643
ethyl_acetate,2,True,24,702.6123241498489,75.30273270299692,41.77263475334908,72.70211296563201,,dynamic_transfer_model,all_data,0.004259750620233061,0.8995484204158494
ethyl_acetate,7,True,38,69296626.18625554,75.30273271804374,41.77511988352813,72.70176897949037,,dynamic_transfer_model,all_data,0.004258844767279395,0.8994997632959643
