timestamp,flow_filt_sccm,reactor_volume_ml,reactor_volume_l,co2_volume_correction_factor,flow_filt_sccm_per_l,flow_filt_sccm_v0_corrected,process,t_h
2026-06-23 08:00:00,0.6908,1425.0,1.425,1.4035087719298245,0.48477192982456135,0.9695438596491227,F1,184.5
2026-06-23 08:10:00,0.6947,1425.0,1.425,1.4035087719298245,0.48750877192982456,0.975017543859649,F1,184.66666666666666
2026-06-23 08:20:00,0.6909,1425.0,1.425,1.4035087719298245,0.48484210526315785,0.9696842105263157,F1,184.83333333333334
2026-06-23 08:30:00,0.6946,1425.0,1.425,1.4035087719298245,0.48743859649122806,0.9748771929824561,F1,185.0
2026-06-23 08:40:00,0.6983,1425.0,1.425,1.4035087719298245,0.49003508771929827,0.9800701754385965,F1,185.16666666666666
2026-06-23 08:50:00,0.70365,1425.0,1.425,1.4035087719298245,0.49378947368421056,0.987578947368421,F1,185.33333333333334
2026-06-23 09:00:00,0.7006,1425.0,1.425,1.4035087719298245,0.49164912280701756,0.9832982456140351,F1,185.5
2026-06-23 09:10:00,0.6828,1425.0,1.425,1.4035087719298245,0.47915789473684206,0.9583157894736841,F1,185.66666666666666
2026-06-23 09:20:00,0.6762,1425.0,1.425,1.4035087719298245,0.4745263157894737,0.9490526315789474,F1,185.83333333333334
2026-06-23 09:30:00,0.6744,1425.0,1.425,1.4035087719298245,0.47326315789473683,0.9465263157894737,F1,186.0
2026-06-23 09:40:00,0.6851,1425.0,1.425,1.4035087719298245,0.4807719298245614,0.9615438596491228,F1,186.16666666666666
2026-06-23 09:50:00,0.7024,1425.0,1.425,1.4035087719298245,0.4929122807017544,0.9858245614035087,F1,186.33333333333334
2026-06-23 10:00:00,0.7336,1420.0,1.42,1.408450704225352,0.5166197183098591,1.0332394366197182,F1,186.5
2026-06-23 10:10:00,0.8277,1420.0,1.42,1.408450704225352,0.582887323943662,1.1657746478873239,F1,186.66666666666666
