,mu0,qN,betaG0,betaF0,qEG,qEF,iG,iE,Kd0,gammaG0,gammaF0,kPyrS_N,kPyrS_stat,kPyrO2,kPyrDrain,kAldPyr,kAldS_N,kAldS_stat,kAldO2,kAldRed,kAcAld,kAcStress,kAcAssim,k_EA_growth,k_EA_stationary,k_IAA_growth,k_IAA_stationary,k_EO_growth,k_EO_stationary,alpha_EA_loss,alpha_IAA_loss,alpha_EO_loss,k_EA_XE,k_EA_XE_Nlim
kAcAld,722.4644103006542,-150.51164916374734,65.29038983475967,-2.006243227832779,-73.57153305657073,175.88071473278126,-19.766519637054472,-178.463456863874,-3.9496520400440573,0.0,0.0,-371.53385093856957,-37.46612215644943,-534.501873624444,582.6189403341663,-1774.2027585916062,-551.5826400130799,-1859.0854554711118,-3714.312875708705,6.420085173339902,13929.912579400385,818.3316578816537,-0.005784250516943061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcStress,994.9402909934847,-1044.1190389507021,-197.25268094502917,-61.56076575238596,253.62272793967347,161.0264165158014,-38.57062622944679,-12.042500292464027,-143.2746823715304,0.0,0.0,33.64735053946746,2.2959722024878935,29.22959136340081,-27.447329509897827,149.7140838644635,144.77242271712885,271.14457461544356,401.37172263065924,-0.3783594540362263,818.3316578816537,1126.7595338925694,-0.007113884006448616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kAcAssim,-0.0069382725709933235,0.0071765719506756975,0.0011262085508448314,0.0003506540701404878,-0.0016288299135424162,-0.0010725626932439542,0.0002788446436335255,0.00014615416787044843,0.0008430139629760025,0.0,0.0,-0.000213482383764235,-1.4145837978321064e-05,-0.00017962390397707647,0.0001674623179734254,-0.0009489892449408518,-0.00099047621452412,-0.0017474469802906136,-0.0025653787313551233,2.3702511830867354e-06,-0.005784250516943061,-0.007113884006448616,4.9699575844024976e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k_EA_growth,0.06212011491963755,-0.045774249269929,0.03973954773025473,0.013295555558380013,-0.02314273248157843,-0.0016179128060496116,-0.0042342243035548765,-0.012649734014817362,-0.0006600876765482233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.955908078184224e-05,0.03221408919149639,0.0,0.0,0.0,0.0,0.02828560943161708,0.0,0.0,2.406130609313499e-05,0.08765389364057896
k_EA_stationary,39.626419257839004,-30.41807784907573,23.339530364043448,7.754880363928534,-13.6117506889194,-0.76424915764151,-2.4969111490952307,-7.377394789754021,-0.40366841982357543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03221408919149639,20.318519450450175,0.0,0.0,0.0,0.0,15.158356287386901,0.0,0.0,0.015665064632942063,57.76120903197263
k_IAA_growth,49.5950766514146,-45.19607565568671,-8.93286726394181,0.6386876042346228,59.31075557293802,53.67481784907089,-21.685246206665198,-27.29842186315463,-5.259072701473413e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.044135347368275,71.97017804755858,0.0,0.0,0.0,39.31444598372751,0.0,0.0,0.0
k_IAA_stationary,93.30645684129169,-86.99688251660228,-11.30273194755564,2.9550093478430774,100.86119474820971,95.02615356745224,-38.44247072852596,-53.930618603264506,-5.259072701473413e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.97017804755858,129.89946906409216,0.0,0.0,0.0,90.94821251229257,0.0,0.0,0.0
k_EO_growth,41.340596424964644,-94.89637248309919,-16.433277658773342,-1.2572636927557401,61.32876648409044,69.52544004639883,-26.10914282225631,-27.625674371296988,-0.5913310008940391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.79590668657545,142.70932679966444,0.0,0.0,58.72382392008586,0.0,0.0
k_EO_stationary,44.06351136145173,-112.12278642470021,-32.876407319350214,-5.583644184377383,86.25191934249911,74.94277625840066,-26.16308685910269,-30.49682752149263,-0.6674132743759076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.70932679966444,216.33536118137758,0.0,0.0,19.8044432235114,0.0,0.0
alpha_EA_loss,23.06581547828945,-16.54288003362265,36.21749563598166,12.382694419231433,-37.919660559130115,-13.526166860602618,0.1669850527158748,-2.7139481469026916,-0.7982347726470089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02828560943161708,15.158356287386901,0.0,0.0,0.0,0.0,29.22476006303076,0.0,0.0,0.011876363757786305,43.32459054636418
